Date,Box A,Box B,Box C,EMI
1997-01-01,0.225856,-0.24685,0.147236,0.275663
1997-02-01,0.19322,0.0455303,0.0562165,0.142347
1997-03-01,0.23256,0.651668,0.0299078,-0.108228
1997-04-01,0.515299,0.669415,0.161924,0.0996293
1997-05-01,0.672034,1.47929,0.101834,-0.118528
1997-06-01,0.598743,2.18463,0.153815,-0.570481
1997-07-01,0.806827,2.60995,-0.0142748,-0.491009
1997-08-01,0.907801,3.02947,-0.182777,-0.515544
1997-09-01,1.02609,3.09041,-0.11888,-0.459671
1997-10-01,1.02595,3.22196,0.156483,-0.663268
1997-11-01,1.08569,3.23766,0.0633332,-0.564806
1997-12-01,0.854615,3.36762,0.284503,-0.971448
1998-01-01,0.974028,2.85706,0.0732014,-0.491103
1998-02-01,0.803511,2.41071,0.23594,-0.519815
1998-03-01,0.582782,2.32467,0.337388,-0.748249
1998-04-01,0.293306,2.19538,0.318357,-0.96356
1998-05-01,0.272792,2.18764,0.388531,-1.01529
1998-06-01,-0.0140652,1.50952,0.591499,-1.06458
1998-07-01,-0.122309,1.17284,0.947406,-1.18243
1998-08-01,-0.255932,1.00478,1.06184,-1.28924
1998-09-01,-0.284046,0.533525,1.04416,-1.07289
1998-10-01,-0.53752,0.335955,0.937444,-1.17422
1998-11-01,-0.622362,0.259391,0.851035,-1.17758
1998-12-01,-0.78738,0.215721,0.60298,-1.19673
1999-01-01,-0.927955,0.0792316,0.655451,-1.2953
1999-02-01,-1.00755,0.254516,0.641508,-1.45556
1999-03-01,-0.679118,0.394723,0.67554,-1.21425
1999-04-01,-0.550449,-0.249498,0.564969,-0.708185
1999-05-01,-0.539155,-0.104273,0.410355,-0.692196
1999-06-01,-0.479827,-0.217231,0.377611,-0.560017
1999-07-01,-0.460991,-0.237129,0.413812,-0.549332
1999-08-01,-0.552571,-0.160435,0.231303,-0.588005
1999-09-01,-0.424456,-0.50356,0.450177,-0.397765
1999-10-01,-0.480882,-0.5212,0.538988,-0.489776
1999-11-01,-0.71899,-0.743448,0.4667,-0.580616
1999-12-01,-0.849191,-0.668865,0.544056,-0.786787
2000-01-01,-0.937318,-0.655138,0.607921,-0.91371
2000-02-01,-1.05442,-0.1864,0.543644,-1.23304
2000-03-01,-0.939613,-0.0878456,0.484842,-1.13811
2000-04-01,-0.723933,0.400776,0.488097,-1.16837
2000-05-01,-0.627832,0.00169106,0.405504,-0.83143
2000-06-01,-0.395055,-0.453348,0.257516,-0.297139
2000-07-01,-0.26506,-0.357364,0.111951,-0.142354
2000-08-01,-0.156238,-0.230655,0.359401,-0.220611
2000-09-01,-0.107768,-0.104556,0.418983,-0.264982
2000-10-01,-0.212336,-0.167269,0.406478,-0.331941
2000-11-01,-0.236075,-0.283999,0.51018,-0.349166
2000-12-01,-0.468866,-0.0876386,0.476506,-0.663299
2001-01-01,-0.500332,-0.275411,0.684446,-0.704849
2001-02-01,-0.526996,0.061244,0.564712,-0.839974
2001-03-01,-0.403542,0.524727,0.625285,-0.978548
2001-04-01,-0.174228,0.517283,0.593559,-0.729648
2001-05-01,-0.0527512,-0.0664496,0.425009,-0.232031
2001-06-01,0.119969,-0.240528,0.559196,-0.0393651
2001-07-01,0.321993,-0.125113,0.326022,0.221539
2001-08-01,0.334063,-0.210197,0.386216,0.246053
2001-09-01,0.391398,-0.604933,0.446982,0.470373
2001-10-01,0.297486,-0.449836,0.557908,0.243449
2001-11-01,0.285128,-0.478026,0.573044,0.237619
2001-12-01,0.100718,-0.387816,0.410936,0.0891582
2002-01-01,0.32111,-0.458142,0.409279,0.345542
2002-02-01,0.258914,-0.109943,0.400379,0.113696
2002-03-01,0.32997,0.597978,0.401097,-0.169567
2002-04-01,0.44359,0.346133,0.497084,0.0219816
2002-05-01,0.467923,0.418517,0.364748,0.0762908
2002-06-01,0.718276,0.0459822,0.351124,0.519723
2002-07-01,0.7035,0.112695,0.180724,0.55679
2002-08-01,0.716618,0.0952879,0.0786657,0.629642
2002-09-01,0.746655,0.282624,0.0628271,0.573929
2002-10-01,0.894861,0.645067,0.307473,0.418591
2002-11-01,0.949402,0.822304,0.349586,0.363457
2002-12-01,0.851568,0.816553,0.29162,0.297481
2003-01-01,0.791263,0.347583,0.260663,0.48714
2003-02-01,0.641112,0.118811,0.227866,0.467773
2003-03-01,0.655912,-0.0681966,0.200507,0.589757
2003-04-01,0.460663,-0.337957,0.439626,0.409828
2003-05-01,0.163882,-0.696707,0.453229,0.285621
2003-06-01,0.303941,-0.364419,0.340235,0.316033
2003-07-01,0.389634,0.0178262,0.493704,0.133869
2003-08-01,0.394935,0.378899,0.385209,0.0128808
2003-09-01,0.470909,0.0118826,0.422941,0.253497
2003-10-01,0.633456,0.35128,0.513566,0.201034
2003-11-01,0.578599,0.483812,0.409086,0.13215
2003-12-01,0.45635,0.574713,0.248891,0.0445485
2004-01-01,0.484428,0.414071,0.311404,0.12169
2004-02-01,0.365214,0.280469,0.492674,-0.0213574
2004-03-01,0.18297,0.195826,0.53622,-0.183053
2004-04-01,0.263281,0.154175,0.40265,-0.0151311
2004-05-01,0.339632,-0.321744,0.346935,0.327037
2004-06-01,0.395982,-0.268416,0.144922,0.457729
2004-07-01,0.578334,-0.210159,0.18555,0.590638
2004-08-01,0.670927,-0.0647227,0.00819488,0.699191
2004-09-01,0.817693,0.1417,0.0934635,0.700111
2004-10-01,0.836438,0.31711,-0.00875632,0.682261
2004-11-01,0.771307,0.519924,0.0995932,0.461549
2004-12-01,0.795746,0.559304,0.299146,0.366521
2005-01-01,0.857043,0.28236,0.293658,0.569035
2005-02-01,0.548518,-0.15348,0.211779,0.519368
2005-03-01,0.501776,-0.343342,0.344629,0.501132
2005-04-01,0.420437,0.094119,0.166671,0.290043
2005-05-01,0.362931,0.345226,0.241702,0.0694672
2005-06-01,0.351776,0.169789,0.288267,0.122748
2005-07-01,0.239959,0.320104,0.46888,-0.154533
2005-08-01,0.199757,0.206086,0.360587,-0.0835795
2005-09-01,0.263091,-0.259851,0.292184,0.246924
2005-10-01,0.255004,-0.481591,0.504606,0.243497
2005-11-01,0.111993,-0.974942,0.0874479,0.555741
2005-12-01,-0.0892889,-0.852805,-0.175838,0.425032
2006-01-01,-0.292492,-0.26651,0.318934,-0.318704
2006-02-01,-0.434556,0.380841,0.49243,-0.871192
2006-03-01,-0.269846,0.0927354,0.397563,-0.514995
2006-04-01,-0.0430397,-0.131462,0.35662,-0.155619
2006-05-01,0.125621,0.00738515,0.398506,-0.0773248
2006-06-01,0.261162,-0.0163063,0.41222,0.0632055
2006-07-01,0.29955,0.232683,0.147511,0.109453
2006-08-01,0.536975,0.561154,0.00176816,0.255514
2006-09-01,0.709915,0.779261,0.260207,0.190181
2006-10-01,0.809607,1.00842,-0.087088,0.34894
2006-11-01,0.851582,0.922186,0.0835587,0.348709
2006-12-01,0.824027,0.855819,0.238438,0.276899
2007-01-01,0.593035,0.65781,0.306874,0.110693
2007-02-01,0.367782,0.341768,0.32955,0.0321232
2007-03-01,0.285522,-0.0596418,0.173326,0.228679
2007-04-01,0.250249,-0.260772,0.162077,0.299597
2007-05-01,0.0576125,-0.556056,0.27468,0.1983
2007-06-01,0.188974,-0.626211,0.533904,0.235127
2007-07-01,0.154584,-0.30146,0.451134,0.0797465
2007-08-01,0.0643675,-0.612405,0.369427,0.185856
2007-09-01,-0.189771,-0.866012,0.378694,0.053888
2007-10-01,-0.426801,-1.00755,0.376352,-0.1112
2007-11-01,-0.690752,-1.29774,0.364713,-0.224239
2007-12-01,-0.756955,-1.05391,0.47534,-0.467669
2008-01-01,-0.988746,-0.718467,0.52254,-0.890783
2008-02-01,-1.11043,-0.188829,0.58561,-1.30882
2008-03-01,-0.901515,0.152341,0.517381,-1.23638
2008-04-01,-0.678098,0.224223,0.460638,-1.02053
2008-05-01,-0.567153,0.167962,0.267239,-0.784753
2008-06-01,-0.42816,0.335063,0.154247,-0.672815
