#https://www.esrl.noaa.gov/psd/enso/mei/table.html,,,MEI,Index,(updated:,7,November,2018),,,,
YEAR,1,2,3,4,5,6,7,8,9,10,11,12
1950,-1.03,-1.133,-1.283,-1.071,-1.434,-1.412,-1.269,-1.042,-0.631,-0.441,-1.138,-1.235
1951,-1.049,-1.152,-1.178,-0.511,-0.374,0.288,0.679,0.818,0.726,0.72,0.726,0.504
1952,0.433,0.138,0.071,0.224,-0.307,-0.756,-0.305,-0.374,0.31,0.265,-0.328,-0.098
1953,0.044,0.401,0.277,0.687,0.756,0.191,0.382,0.209,0.483,0.087,0.099,0.351
1954,-0.036,-0.027,0.154,-0.616,-1.465,-1.558,-1.355,-1.456,-1.159,-1.335,-1.113,-1.088
1955,-0.74,-0.669,-1.117,-1.621,-1.653,-2.247,-1.976,-2.05,-1.829,-1.738,-1.813,-1.846
1956,-1.408,-1.275,-1.371,-1.216,-1.304,-1.523,-1.244,-1.118,-1.35,-1.478,-1.014,-0.993
1957,-0.915,-0.348,0.108,0.383,0.813,0.73,0.926,1.132,1.117,1.068,1.167,1.268
1958,1.473,1.454,1.313,0.991,0.673,0.812,0.7,0.421,0.171,0.203,0.501,0.691
1959,0.553,0.81,0.502,0.202,-0.025,-0.062,-0.112,0.111,0.092,-0.071,-0.151,-0.247
1960,-0.287,-0.253,-0.082,0.007,-0.322,-0.287,-0.318,-0.25,-0.47,-0.358,-0.308,-0.39
1961,-0.15,-0.235,-0.073,0.017,-0.302,-0.185,-0.208,-0.3,-0.3,-0.536,-0.416,-0.608
1962,-1.065,-0.963,-0.692,-1.04,-0.89,-0.87,-0.683,-0.538,-0.56,-0.671,-0.598,-0.482
1963,-0.718,-0.837,-0.675,-0.761,-0.473,-0.144,0.404,0.59,0.734,0.805,0.866,0.765
1964,0.878,0.481,-0.256,-0.545,-1.234,-1.15,-1.384,-1.486,-1.309,-1.216,-1.211,-0.907
1965,-0.536,-0.329,-0.259,0.086,0.464,0.867,1.367,1.425,1.379,1.202,1.378,1.27
1966,1.307,1.186,0.689,0.515,-0.178,-0.193,-0.116,0.152,-0.094,-0.05,0.022,-0.181
1967,-0.462,-0.898,-1.05,-1.03,-0.448,-0.236,-0.492,-0.391,-0.627,-0.677,-0.407,-0.357
1968,-0.602,-0.727,-0.635,-0.944,-1.093,-0.812,-0.503,-0.104,0.213,0.424,0.607,0.367
1969,0.67,0.849,0.458,0.622,0.674,0.801,0.49,0.212,0.162,0.496,0.683,0.417
1970,0.38,0.432,0.228,0.014,-0.099,-0.636,-1.055,-1.007,-1.251,-1.088,-1.063,-1.203
1971,-1.204,-1.507,-1.79,-1.839,-1.429,-1.42,-1.207,-1.213,-1.467,-1.415,-1.301,-0.969
1972,-0.575,-0.398,-0.256,-0.166,0.423,0.966,1.826,1.8,1.522,1.617,1.74,1.787
1973,1.723,1.515,0.87,0.491,-0.099,-0.758,-1.056,-1.334,-1.734,-1.66,-1.482,-1.826
1974,-1.912,-1.768,-1.743,-1.62,-1.048,-0.694,-0.75,-0.664,-0.628,-1.05,-1.23,-0.886
1975,-0.522,-0.576,-0.85,-0.927,-0.838,-1.148,-1.497,-1.712,-1.876,-1.978,-1.748,-1.732
1976,-1.587,-1.366,-1.213,-1.157,-0.483,0.276,0.633,0.654,1.018,0.927,0.511,0.565
1977,0.529,0.29,0.145,0.552,0.31,0.414,0.888,0.684,0.783,0.97,0.99,0.877
