#http://research.jisao.washington.edu/pdo/PDO.latest
Year,1,2,3,4,5,6,7,8,9,10,11,12
1989,-0.95,-1.02,-0.83,-0.32,0.47,0.36,0.83,0.09,0.05,-0.12,-0.50,-0.21
1990,-0.30,-0.65,-0.62,0.27,0.44,0.44,0.27,0.11,0.38,-0.69,-1.69,-2.23
1991,-2.02,-1.19,-0.74,-1.01,-0.51,-1.47,-0.10,0.36,0.65,0.49,0.42,0.09
1992, 0.05,0.31,0.67,0.75,1.54,1.26,1.90,1.44,0.83,0.93,0.93,0.53
1993, 0.05,0.19,0.76,1.21,2.13,2.34,2.35,2.69,1.56,1.41,1.24,1.07
1994, 1.21,0.59,0.80,1.05,1.23,0.46,0.06,-0.79,-1.36,-1.32,-1.96,-1.79
1995,-0.49,0.46,0.75,0.83,1.46,1.27,1.71,0.21,1.16,0.47,-0.28,0.16
1996, 0.59,0.75,1.01,1.46,2.18,1.10,0.77,-0.14,0.24,-0.33,0.09,-0.03
1997, 0.23,0.28,0.65,1.05,1.83,2.76,2.35,2.79,2.19,1.61,1.12,0.67
1998, 0.83,1.56,2.01,1.27,0.70,0.40,-0.04,-0.22,-1.21,-1.39,-0.52,-0.44
1999,-0.32,-0.66,-0.33,-0.41,-0.68,-1.30,-0.66,-0.96,-1.53,-2.23,-2.05,-1.63
2000,-2.00,-0.83,0.29,0.35,-0.05,-0.44,-0.66,-1.19,-1.24,-1.30,-0.53,0.52
2001, 0.60,0.29,0.45,-0.31,-0.30,-0.47,-1.31,-0.77,-1.37,-1.37,-1.26,-0.93
2002,0.27,-0.64,-0.43,-0.32,-0.63,-0.35,-0.31,0.60,0.43,0.42,1.51,2.10
2003,2.09,1.75,1.51,1.18,0.89,0.68,0.96,0.88,0.01,0.83,0.52,0.33
2004,0.43,0.48,0.61,0.57,0.88,0.04,0.44,0.85,0.75,-0.11,-0.63,-0.17
2005,0.44,0.81,1.36,1.03,1.86,1.17,0.66,0.25,-0.46,-1.32,-1.50,0.20
2006,1.03,0.66,0.05,0.40,0.48,1.04,0.35,-0.65,-0.94,-0.05,-0.22,0.14
2007,0.01,0.04,-0.36,0.16,-0.10,0.09,0.78,0.50,-0.36,-1.45,-1.08,-0.58
2008,-1.00,-0.77,-0.71,-1.52,-1.37,-1.34,-1.67,-1.70,-1.55,-1.76,-1.25,-0.87
2009,-1.40,-1.55,-1.59,-1.65,-0.88,-0.31,-0.53,0.09,0.52,0.27,-0.40,0.08
2010,0.83,0.82,0.44,0.78,0.62,-0.22,-1.05,-1.27,-1.61,-1.06,-0.82,-1.21
2011,-0.92,-0.83,-0.69,-0.42,-0.37,-0.69,-1.86,-1.74,-1.79,-1.34,-2.33,-1.79
2012,-1.38,-0.85,-1.05,-0.27,-1.26,-0.87,-1.52,-1.93,-2.21,-0.79,-0.59,-0.48
2013,-0.13,-0.43,-0.63,-0.16,0.08,-0.78,-1.25,-1.04,-0.48,-0.87,-0.11,-0.41
2014,0.30,0.38,0.97,1.13,1.80,0.82,0.70,0.67,1.08,1.49,1.72,2.51
2015,2.45,2.30,2.00,1.44,1.20,1.54,1.84,1.56,1.94,1.47,0.86,1.01
2016,1.53,1.75,2.40,2.62,2.35,2.03,1.25,0.52,0.45,0.56,1.88,1.17
2017,0.77,0.70,0.74,1.12,0.88,0.79,0.10,0.09,0.32,0.05,0.15,0.50
2018,0.70,0.37,-0.05,0.11,0.11,-0.04,0.11,0.18,0.09
