,end,mei,start
0,1979-12-01,0.65,1979-11-01
1,1980-07-01,0.62,1980-04-01
2,1983-07-01,0.75,1982-06-01
3,1988-01-01,0.59,1986-07-01
4,1990-03-01,0.61,1990-03-01
5,1991-07-01,0.88,1991-06-01
6,1992-07-01,0.76,1991-09-01
7,1993-11-01,0.7,1992-09-01
8,1995-01-01,0.77,1994-07-01
9,1998-05-01,2.26,1997-05-01
10,2003-03-01,0.53,2002-08-01
11,2004-09-01,0.54,2004-08-01
12,2004-12-01,0.51,2004-11-01
13,2005-03-01,0.82,2005-02-01
14,2007-01-01,0.62,2006-08-01
15,2009-08-01,0.52,2009-08-01
16,2010-03-01,1.31,2009-10-01
17,2016-05-01,1.26,2015-05-01
18,2018-09-01,0.52,2018-09-01
19,2019-03-01,0.77,2019-02-01
