,end,mei,start
0,1981-07-01,-0.51,1981-06-01
1,1984-02-01,-0.52,1984-01-01
2,1984-06-01,-0.72,1984-06-01
3,1984-11-01,-0.58,1984-11-01
4,1985-06-01,-0.57,1985-02-01
5,1986-04-01,-0.52,1986-04-01
6,1989-10-01,-0.56,1988-06-01
7,1996-08-01,-0.6,1995-08-01
8,1997-02-01,-0.72,1997-01-01
9,2000-07-01,-0.58,1998-07-01
10,2001-06-01,-0.71,2000-10-01
11,2003-05-01,-0.57,2003-05-01
12,2006-04-01,-0.84,2005-10-01
13,2009-05-01,-0.72,2007-06-01
14,2012-03-01,-0.59,2010-06-01
15,2013-08-01,-0.5,2013-05-01
16,2014-01-01,-0.51,2014-01-01
17,2016-07-01,-0.51,2016-07-01
18,2016-11-01,-0.51,2016-10-01
19,2017-03-01,-0.58,2017-03-01
20,2018-06-01,-0.51,2017-07-01
