time,npp
2002-07-04,670.0823
2002-07-12,643.2587
2002-07-20,568.20636
2002-07-28,566.5476
2002-08-05,601.3777
2002-08-13,655.2311
2002-08-21,707.6603
2002-08-29,660.8779
2002-09-06,685.1096
2002-09-14,699.84827
2002-09-22,636.26794
2002-09-30,822.0232
2002-10-08,718.92944
2002-10-16,744.87915
2002-10-24,750.24097
2002-11-01,722.26587
2002-11-09,617.0877
2002-11-17,507.25223
2002-11-25,568.9209
2002-12-03,632.9245
2002-12-11,582.64923
2002-12-19,650.54706
2002-12-27,603.4753
2003-01-01,552.99225
2003-01-09,483.41504
2003-01-17,558.27673
2003-01-25,576.39514
2003-02-02,603.221
2003-02-10,658.16187
2003-02-18,576.96924
2003-02-26,654.1496
2003-03-06,705.0491
2003-03-14,745.2981
2003-03-22,734.4314
2003-03-30,664.5832
2003-04-07,704.6877
2003-04-15,676.0958
2003-04-23,793.3061
2003-05-01,732.64343
2003-05-09,787.3062
2003-05-17,747.9183
2003-05-25,798.8318
2003-06-02,774.8518
2003-06-10,617.0496
2003-06-18,638.7905
2003-06-26,657.1928
2003-07-04,600.89856
2003-07-12,612.505
2003-07-20,641.278
2003-07-28,577.2743
2003-08-05,614.72406
2003-08-13,561.3138
2003-08-21,616.6099
2003-08-29,615.00244
2003-09-06,729.3985
2003-09-14,694.15704
2003-09-22,664.413
2003-09-30,679.6556
2003-10-08,774.1418
2003-10-16,654.6985
2003-10-24,710.4013
2003-11-01,686.7097
2003-11-09,652.6623
2003-11-17,566.13574
2003-11-25,622.3656
2003-12-03,610.3051
2003-12-11,529.4906
2003-12-19,542.8777
2003-12-27,554.19855
2004-01-01,457.24344
2004-01-09,502.8764
2004-01-17,571.75854
2004-01-25,569.9441
2004-02-02,599.0455
2004-02-10,693.1814
2004-02-18,737.93
2004-02-26,688.06067
2004-03-05,708.2411
2004-03-13,737.80646
2004-03-21,567.8421
2004-03-29,649.2784
2004-04-06,722.3571
2004-04-14,671.1096
2004-04-22,587.95544
2004-04-30,596.6928
2004-05-08,656.38245
2004-05-16,681.6285
2004-05-24,645.78424
2004-06-01,522.49365
2004-06-09,632.9584
2004-06-17,581.9513
2004-06-25,544.134
2004-07-03,589.2957
2004-07-11,534.73505
2004-07-19,597.79913
2004-07-27,587.31354
2004-08-04,595.72766
2004-08-12,559.84644
2004-08-20,634.2504
2004-08-28,673.2328
2004-09-05,642.955
2004-09-13,674.5603
2004-09-21,557.10876
2004-09-29,599.63104
2004-10-07,566.6728
2004-10-15,612.1137
2004-10-23,513.81067
2004-10-31,588.315
2004-11-08,532.6421
2004-11-16,600.9601
2004-11-24,425.66498
2004-12-02,449.40936
2004-12-10,531.7422
2004-12-18,569.22205
2004-12-26,554.79047
2005-01-01,419.93326
2005-01-09,468.92084
2005-01-17,560.377
2005-01-25,470.90298
2005-02-02,568.48804
2005-02-10,476.92572
2005-02-18,502.08377
2005-02-26,504.6704
2005-03-06,511.91357
2005-03-14,610.96155
2005-03-22,645.7569
2005-03-30,690.2313
2005-04-07,793.0358
2005-04-15,855.6185
2005-04-23,871.92596
2005-05-01,707.1181
2005-05-09,718.00165
2005-05-17,681.2362
2005-05-25,687.0013
2005-06-02,552.85474
2005-06-10,614.9947
2005-06-18,597.837
2005-06-26,595.14624
2005-07-04,589.7411
2005-07-12,591.2699
2005-07-20,614.897
2005-07-28,624.999
2005-08-05,542.41675
2005-08-13,585.5151
2005-08-21,563.0862
2005-08-29,679.24976
2005-09-06,676.94617
2005-09-14,807.40924
2005-09-22,696.7186
2005-09-30,731.91394
2005-10-08,675.71234
2005-10-16,649.506
2005-10-24,696.5192
2005-11-01,803.428
2005-11-09,848.65704
2005-11-17,728.02106
2005-11-25,737.5628
2005-12-03,738.07086
2005-12-11,749.8169
2005-12-19,798.47174
2005-12-27,829.60205
2006-01-01,797.94073
2006-01-09,781.34863
2006-01-17,784.3459
2006-01-25,721.2219
2006-02-02,611.49554
2006-02-10,732.87317
2006-02-18,845.63904
2006-02-26,791.1721
2006-03-06,764.23975
2006-03-14,918.24176
2006-03-22,1053.0013
2006-03-30,968.96985
2006-04-07,930.0092
2006-04-15,820.25726
2006-04-23,838.4759
2006-05-01,889.4513
2006-05-09,856.3312
2006-05-17,780.448
2006-05-25,860.9527
2006-06-02,728.6291
