time,npp
2002-07-04,774.6317
2002-07-12,743.3586
2002-07-20,762.718
2002-07-28,634.90063
2002-08-05,637.9594
2002-08-13,756.17267
2002-08-21,704.1145
2002-08-29,569.11896
2002-09-06,646.78326
2002-09-14,654.162
2002-09-22,624.2623
2002-09-30,634.55054
2002-10-08,660.7442
2002-10-16,631.0474
2002-10-24,577.56946
2002-11-01,538.3894
2002-11-09,592.06903
2002-11-17,538.55225
2002-11-25,574.41425
2002-12-03,530.37805
2002-12-11,532.7014
2002-12-19,561.1316
2002-12-27,490.10806
2003-01-01,582.3827
2003-01-09,620.6231
2003-01-17,783.80817
2003-01-25,585.71313
2003-02-02,609.5358
2003-02-10,744.1002
2003-02-18,818.9121
2003-02-26,823.72076
2003-03-06,799.56573
2003-03-14,734.82874
2003-03-22,898.1871
2003-03-30,823.5554
2003-04-07,898.29974
2003-04-15,884.6374
2003-04-23,847.76086
2003-05-01,859.9142
2003-05-09,793.58325
2003-05-17,824.60693
2003-05-25,862.8256
2003-06-02,853.86743
2003-06-10,880.63043
2003-06-18,859.2097
2003-06-26,826.94965
2003-07-04,832.7057
2003-07-12,665.0348
2003-07-20,733.7772
2003-07-28,760.1293
2003-08-05,749.9112
2003-08-13,802.4941
2003-08-21,926.65796
2003-08-29,830.0295
2003-09-06,850.95776
2003-09-14,844.581
2003-09-22,945.6226
2003-09-30,944.9973
2003-10-08,800.72437
2003-10-16,796.5862
2003-10-24,859.12024
2003-11-01,872.4817
2003-11-09,905.25555
2003-11-17,861.5932
2003-11-25,802.6355
2003-12-03,865.4706
2003-12-11,709.9591
2003-12-19,760.92505
2003-12-27,798.82104
2004-01-01,698.2702
2004-01-09,817.62836
2004-01-17,743.63916
2004-01-25,690.74347
2004-02-02,726.6963
2004-02-10,870.8454
2004-02-18,732.9153
2004-02-26,884.25464
2004-03-05,796.29126
2004-03-13,841.2693
2004-03-21,900.77264
2004-03-29,821.63544
2004-04-06,818.2277
2004-04-14,823.94116
2004-04-22,825.0995
2004-04-30,644.3138
2004-05-08,712.3619
2004-05-16,756.6028
2004-05-24,786.9475
2004-06-01,733.02094
2004-06-09,753.4877
2004-06-17,726.346
2004-06-25,695.00287
2004-07-03,770.57495
2004-07-11,777.01984
2004-07-19,692.1999
2004-07-27,710.3177
2004-08-04,710.5522
2004-08-12,770.5228
2004-08-20,808.93243
2004-08-28,774.6369
2004-09-05,830.5743
2004-09-13,813.681
2004-09-21,819.4346
2004-09-29,803.1117
2004-10-07,748.0012
2004-10-15,745.6311
2004-10-23,842.4987
2004-10-31,861.2867
2004-11-08,837.3761
2004-11-16,738.087
2004-11-24,774.00415
2004-12-02,704.8306
2004-12-10,735.25354
2004-12-18,723.958
2004-12-26,701.4723
2005-01-01,683.0306
2005-01-09,760.51605
2005-01-17,716.55743
2005-01-25,725.5794
2005-02-02,666.5992
2005-02-10,779.75226
2005-02-18,777.7966
2005-02-26,757.5415
2005-03-06,852.70496
2005-03-14,781.0902
2005-03-22,891.65295
2005-03-30,898.4597
2005-04-07,784.7064
2005-04-15,834.20044
2005-04-23,789.43915
2005-05-01,731.0895
2005-05-09,748.4651
2005-05-17,853.3902
2005-05-25,948.0498
2005-06-02,817.5763
2005-06-10,726.4289
2005-06-18,759.00055
2005-06-26,802.95087
2005-07-04,687.3079
2005-07-12,729.12897
2005-07-20,739.65424
2005-07-28,767.68616
2005-08-05,779.15405
2005-08-13,863.3823
2005-08-21,763.73676
2005-08-29,787.6511
2005-09-06,904.9304
2005-09-14,899.0494
2005-09-22,862.978
2005-09-30,777.0753
2005-10-08,808.82434
2005-10-16,705.5051
2005-10-24,786.60175
2005-11-01,845.3655
2005-11-09,791.72705
2005-11-17,769.4774
2005-11-25,743.27966
2005-12-03,692.6426
2005-12-11,724.1334
2005-12-19,707.9932
2005-12-27,743.9176
2006-01-01,739.5654
2006-01-09,756.2896
2006-01-17,741.0015
2006-01-25,720.63934
2006-02-02,697.37573
2006-02-10,847.65533
2006-02-18,861.9811
2006-02-26,784.8399
2006-03-06,922.58496
2006-03-14,990.71344
2006-03-22,982.2648
2006-03-30,891.8265
2006-04-07,880.4903
2006-04-15,820.48926
2006-04-23,817.7884
2006-05-01,743.02026
