time,npp
1997-09-14,666.3853
1997-09-22,643.35443
1997-09-30,601.4218
1997-10-08,595.6346
1997-10-16,531.9518
1997-10-24,540.7559
1997-11-01,560.42065
1997-11-09,562.1658
1997-11-17,486.08725
1997-11-25,462.77136
1997-12-03,561.33105
1997-12-11,516.5303
1997-12-19,527.0609
1997-12-27,409.90924
1998-01-01,494.24426
1998-01-09,546.4267
1998-01-17,547.8562
1998-01-25,568.61395
1998-02-02,561.5043
1998-02-10,680.0013
1998-02-18,581.37177
1998-02-26,763.64935
1998-03-06,524.3222
1998-03-14,832.6467
1998-03-22,865.33453
1998-03-30,876.6396
1998-04-07,726.98364
1998-04-15,861.1881
1998-04-23,829.0743
1998-05-01,747.9997
1998-05-09,947.66016
1998-05-17,871.44104
1998-05-25,818.70795
1998-06-02,868.9812
1998-06-10,831.78394
1998-06-18,783.0948
1998-06-26,943.5038
1998-07-04,934.70825
1998-07-12,1117.5826
1998-07-20,871.64594
1998-07-28,877.69684
1998-08-05,889.7219
1998-08-13,842.0945
1998-08-21,824.6318
1998-08-29,819.5068
1998-09-06,974.90894
1998-09-14,1018.65247
1998-09-22,998.71844
1998-09-30,943.05304
1998-10-08,974.48785
1998-10-16,915.68304
1998-10-24,795.3168
1998-11-01,769.79504
1998-11-09,885.7825
1998-11-17,818.68384
1998-11-25,823.29126
1998-12-03,829.10175
1998-12-11,805.6228
1998-12-19,682.84406
1998-12-27,666.8874
1999-01-01,686.8699
1999-01-09,716.71045
1999-01-17,724.21814
1999-01-25,777.97217
1999-02-02,821.826
1999-02-10,779.24243
1999-02-18,720.4617
1999-02-26,821.9238
1999-03-06,910.37
1999-03-14,904.2469
1999-03-22,913.75195
1999-03-30,941.89856
1999-04-07,903.7742
1999-04-15,890.60297
1999-04-23,868.8703
1999-05-01,787.3454
1999-05-09,795.50714
1999-05-17,715.82806
1999-05-25,745.13995
1999-06-02,738.5306
1999-06-10,705.1067
1999-06-18,695.6994
1999-06-26,649.5473
1999-07-04,655.85864
1999-07-12,636.0873
1999-07-20,734.04175
1999-07-28,761.8486
1999-08-05,766.21906
1999-08-13,832.99634
1999-08-21,813.9145
1999-08-29,857.3447
1999-09-06,828.0681
1999-09-14,897.5066
1999-09-22,972.5802
1999-09-30,823.90576
1999-10-08,769.12244
1999-10-16,789.08575
1999-10-24,847.3493
1999-11-01,821.0948
1999-11-09,800.81537
1999-11-17,757.30115
1999-11-25,728.1434
1999-12-03,699.61273
1999-12-11,705.7578
1999-12-19,703.8196
1999-12-27,731.5105
2000-01-01,689.1551
2000-01-09,671.8613
2000-01-17,769.65186
2000-01-25,727.1912
2000-02-02,736.78827
2000-02-10,759.4946
2000-02-18,813.93164
2000-02-26,852.0769
2000-03-05,879.08466
2000-03-13,866.1019
2000-03-21,1060.2805
2000-03-29,1014.57684
2000-04-06,884.0315
2000-04-14,849.73804
2000-04-22,804.4855
2000-04-30,735.8787
2000-05-08,736.5848
2000-05-16,717.52954
2000-05-24,700.6502
2000-06-01,612.8759
2000-06-09,637.85785
2000-06-17,665.63104
2000-06-25,688.29614
2000-07-03,675.4249
2000-07-11,635.4094
2000-07-19,656.5958
2000-07-27,706.1124
2000-08-04,698.2462
2000-08-12,693.3723
2000-08-20,717.7431
