time,npp
2002-07-04,1069.1023
2002-07-12,978.12036
2002-07-20,987.74304
2002-07-28,1031.3314
2002-08-05,897.0615
2002-08-13,897.28143
2002-08-21,1093.5707
2002-08-29,784.0839
2002-09-06,781.3817
2002-09-14,787.3879
2002-09-22,909.8279
2002-09-30,781.92816
2002-10-08,1084.5544
2002-10-16,862.72595
2002-10-24,737.05493
2002-11-01,749.61456
2002-11-09,894.8773
2002-11-17,1078.5599
2002-11-25,1021.2108
2002-12-03,1120.3346
2002-12-11,1049.2633
2002-12-19,934.54913
2002-12-27,851.2205
2003-01-01,1065.4302
2003-01-09,1105.1454
2003-01-17,1189.9124
2003-01-25,821.0391
2003-02-02,1194.4406
2003-02-10,1103.9288
2003-02-18,1126.5908
2003-02-26,1177.283
2003-03-06,1041.3079
2003-03-14,896.81647
2003-03-22,1118.3378
2003-03-30,1080.8589
2003-04-07,1138.2996
2003-04-15,1174.2815
2003-04-23,1222.9143
2003-05-01,1331.6066
2003-05-09,1284.776
2003-05-17,1263.9353
2003-05-25,1198.0112
2003-06-02,1147.8877
2003-06-10,1189.4087
2003-06-18,1017.9742
2003-06-26,974.07294
2003-07-04,1033.9484
2003-07-12,1185.6727
2003-07-20,1065.2587
2003-07-28,1264.2692
2003-08-05,1239.6616
2003-08-13,973.5699
2003-08-21,1008.529
2003-08-29,1063.1926
2003-09-06,1151.3569
2003-09-14,1192.0255
2003-09-22,1070.3479
2003-09-30,1046.6738
2003-10-08,1045.2542
2003-10-16,1171.5159
2003-10-24,1008.5939
2003-11-01,1106.234
2003-11-09,804.177
2003-11-17,1061.5493
2003-11-25,1081.9282
2003-12-03,874.4973
2003-12-11,987.28094
2003-12-19,967.537
2003-12-27,1051.624
2004-01-01,1154.8923
2004-01-09,915.4075
2004-01-17,699.6958
2004-01-25,956.34204
2004-02-02,889.61053
2004-02-10,1036.9363
2004-02-18,1024.6655
2004-02-26,1211.2614
2004-03-05,1098.9631
2004-03-13,1084.3849
2004-03-21,1106.2152
2004-03-29,1120.4235
2004-04-06,1107.3687
2004-04-14,1192.5742
2004-04-22,1181.8246
2004-04-30,1116.0085
2004-05-08,1023.7984
2004-05-16,1046.3961
