time,npp
2002-07-04,749.4692
2002-07-12,671.5988
2002-07-20,658.76483
2002-07-28,642.0224
2002-08-05,608.9348
2002-08-13,770.48047
2002-08-21,651.0193
2002-08-29,712.9483
2002-09-06,630.0708
2002-09-14,602.62
2002-09-22,571.8581
2002-09-30,1063.3868
2002-10-08,823.5451
2002-10-16,843.11896
2002-10-24,747.3065
2002-11-01,723.00323
2002-11-09,591.148
2002-11-17,574.36743
2002-11-25,644.6894
2002-12-03,816.6301
2002-12-11,718.41284
2002-12-19,699.50464
2002-12-27,660.88007
2003-01-01,719.5718
2003-01-09,608.6039
2003-01-17,640.5642
2003-01-25,660.5327
2003-02-02,728.86255
2003-02-10,637.90015
2003-02-18,574.56104
2003-02-26,629.3401
2003-03-06,637.17017
2003-03-14,649.22107
2003-03-22,655.2867
2003-03-30,697.9928
2003-04-07,710.1217
2003-04-15,692.80914
2003-04-23,787.49884
2003-05-01,888.4198
2003-05-09,937.7267
2003-05-17,847.81635
2003-05-25,1019.0714
2003-06-02,891.93243
2003-06-10,784.9792
2003-06-18,692.42847
2003-06-26,654.07404
2003-07-04,671.4538
2003-07-12,645.8704
2003-07-20,684.3192
2003-07-28,560.554
2003-08-05,687.511
2003-08-13,520.207
2003-08-21,528.0198
2003-08-29,520.34235
2003-09-06,624.702
2003-09-14,600.4573
2003-09-22,633.9866
2003-09-30,558.21606
2003-10-08,752.3954
2003-10-16,588.8883
2003-10-24,661.0654
2003-11-01,654.8059
2003-11-09,648.91675
2003-11-17,490.87793
2003-11-25,644.82245
2003-12-03,644.848
2003-12-11,544.00885
2003-12-19,639.84454
2003-12-27,679.4116
2004-01-01,520.2808
2004-01-09,508.44684
2004-01-17,571.2896
2004-01-25,701.4569
2004-02-02,688.3428
2004-02-10,680.8811
2004-02-18,797.9695
2004-02-26,688.2267
2004-03-05,777.8806
2004-03-13,846.4941
2004-03-21,524.6543
2004-03-29,588.85767
2004-04-06,842.1189
2004-04-14,669.0017
2004-04-22,642.42413
2004-04-30,608.65967
2004-05-08,685.63635
2004-05-16,726.1404
2004-05-24,706.6914
2004-06-01,647.0677
2004-06-09,652.7493
2004-06-17,741.8167
2004-06-25,659.32184
2004-07-03,683.1389
2004-07-11,650.9016
2004-07-19,592.74023
2004-07-27,636.4485
2004-08-04,624.7175
2004-08-12,616.2113
2004-08-20,598.0214
2004-08-28,603.8983
2004-09-05,590.21313
2004-09-13,551.939
2004-09-21,450.5825
2004-09-29,459.40778
2004-10-07,510.97455
2004-10-15,494.19064
2004-10-23,492.49268
2004-10-31,531.8729
2004-11-08,554.9438
2004-11-16,534.7181
2004-11-24,455.53662
2004-12-02,525.4771
2004-12-10,705.43884
2004-12-18,579.8191
2004-12-26,534.0812
2005-01-01,508.49475
2005-01-09,546.8874
2005-01-17,612.7857
2005-01-25,480.0816
2005-02-02,645.74207
2005-02-10,531.8171
2005-02-18,528.1316
2005-02-26,593.7252
2005-03-06,503.77478
2005-03-14,584.642
2005-03-22,592.8745
2005-03-30,736.4818
2005-04-07,836.5242
2005-04-15,995.9061
2005-04-23,977.66644
2005-05-01,788.8651
2005-05-09,829.6653
2005-05-17,807.80066
2005-05-25,693.19556
2005-06-02,748.97095
2005-06-10,590.8812
2005-06-18,625.99005
2005-06-26,591.385
2005-07-04,624.50183
2005-07-12,690.8495
2005-07-20,698.1017
2005-07-28,647.9211
2005-08-05,585.72327
2005-08-13,542.015
2005-08-21,550.8694
2005-08-29,632.55524
2005-09-06,655.8634
2005-09-14,731.45013
2005-09-22,739.32935
2005-09-30,591.1606
2005-10-08,595.2751
2005-10-16,763.4174
2005-10-24,675.3637
2005-11-01,870.48987
2005-11-09,871.9721
2005-11-17,707.19604
2005-11-25,880.11255
2005-12-03,839.6809
2005-12-11,859.1468
2005-12-19,961.1183
2005-12-27,996.939
2006-01-01,984.3318
2006-01-09,964.78156
2006-01-17,954.83954
2006-01-25,921.1292
2006-02-02,528.79126
2006-02-10,689.2771
2006-02-18,1010.9643
2006-02-26,841.9219
2006-03-06,941.4685
2006-03-14,968.3572
2006-03-22,1251.3608
2006-03-30,1116.0555
2006-04-07,1072.7745
2006-04-15,960.7614
2006-04-23,981.3216
2006-05-01,1105.704
2006-05-09,1032.8536
2006-05-17,874.3465
2006-05-25,1030.6128
2006-06-02,879.57886
2006-06-10,844.88153
2006-06-18,631.459
2006-06-26,774.7029
2006-07-04,692.6505
2006-07-12,600.64355
2006-07-20,599.3587
2006-07-28,537.56494
2006-08-05,577.36914
2006-08-13,653.8067
2006-08-21,687.90063
2006-08-29,602.41425
2006-09-06,491.23254
2006-09-14,585.5122
2006-09-22,492.11035
2006-09-30,487.2601
2006-10-08,695.12573
2006-10-16,589.5442
2006-10-24,625.1657
2006-11-01,661.69183
2006-11-09,481.1022
2006-11-17,552.82117
2006-11-25,548.2334
2006-12-03,552.78284
2006-12-11,461.9312
2006-12-19,483.49658
2006-12-27,512.3102
2007-01-01,492.15445
2007-01-09,482.83698
2007-01-17,484.81033
2007-01-25,471.03873
2007-02-02,686.01056
2007-02-10,558.85144
2007-02-18,576.93994
2007-02-26,645.7233
2007-03-06,937.7195
2007-03-14,846.45105
2007-03-22,828.9142
2007-03-30,810.2805
2007-04-07,906.49023
