time,npp
1997-09-14,723.46436
1997-09-22,783.5802
1997-09-30,756.9239
1997-10-08,738.5478
1997-10-16,643.3235
1997-10-24,673.2772
1997-11-01,759.49866
1997-11-09,768.3326
1997-11-17,540.4505
1997-11-25,573.9104
1997-12-03,732.32825
1997-12-11,575.93726
1997-12-19,496.28894
1997-12-27,474.2806
1998-01-01,521.8565
1998-01-09,631.885
1998-01-17,701.8928
1998-01-25,715.54346
1998-02-02,526.2431
1998-02-10,578.13184
1998-02-18,581.8803
1998-02-26,497.34314
1998-03-06,548.18097
1998-03-14,790.01556
1998-03-22,647.3865
1998-03-30,633.79834
1998-04-07,809.87115
1998-04-15,712.0069
1998-04-23,697.46155
1998-05-01,773.985
1998-05-09,794.16327
1998-05-17,841.17065
1998-05-25,874.01825
1998-06-02,896.61096
1998-06-10,999.4206
1998-06-18,1013.97485
1998-06-26,970.9975
1998-07-04,1243.2778
1998-07-12,2258.3882
1998-07-20,1119.7139
1998-07-28,1609.1146
1998-08-05,1381.2872
1998-08-13,1395.5757
1998-08-21,1176.9152
1998-08-29,845.7769
1998-09-06,957.52136
1998-09-14,921.7589
1998-09-22,871.3427
1998-09-30,1103.8589
1998-10-08,929.6733
1998-10-16,823.9517
1998-10-24,836.735
1998-11-01,832.6716
1998-11-09,863.9073
1998-11-17,874.5961
1998-11-25,861.8838
1998-12-03,1336.1481
1998-12-11,1130.6538
1998-12-19,935.35657
1998-12-27,733.97437
1999-01-01,930.47473
1999-01-09,886.1567
1999-01-17,846.0176
1999-01-25,891.3845
1999-02-02,857.01733
1999-02-10,867.3538
1999-02-18,865.8712
1999-02-26,900.23676
1999-03-06,807.69293
1999-03-14,876.43225
1999-03-22,874.47516
1999-03-30,955.0067
1999-04-07,832.907
1999-04-15,834.3953
1999-04-23,1000.72003
1999-05-01,889.4475
1999-05-09,725.2623
1999-05-17,836.7875
1999-05-25,776.1665
1999-06-02,775.1814
1999-06-10,873.45605
1999-06-18,831.21606
1999-06-26,731.7993
1999-07-04,768.6055
1999-07-12,816.85486
1999-07-20,774.2883
1999-07-28,918.4231
1999-08-05,815.6372
1999-08-13,889.92065
1999-08-21,858.17554
1999-08-29,918.64575
1999-09-06,937.9284
1999-09-14,811.8641
1999-09-22,969.5676
1999-09-30,813.29565
1999-10-08,894.89935
1999-10-16,984.2549
1999-10-24,898.4358
1999-11-01,903.70056
1999-11-09,851.94366
1999-11-17,1040.4884
1999-11-25,950.91156
1999-12-03,877.56067
1999-12-11,885.7666
1999-12-19,1011.7196
1999-12-27,1056.1414
2000-01-01,834.1319
2000-01-09,911.92035
2000-01-17,899.96747
2000-01-25,953.2542
2000-02-02,917.9425
2000-02-10,812.54596
2000-02-18,901.50244
2000-02-26,824.47205
2000-03-05,835.3129
2000-03-13,934.42926
2000-03-21,915.65405
2000-03-29,987.0
2000-04-06,791.1249
2000-04-14,953.4086
2000-04-22,879.32385
2000-04-30,873.20764
2000-05-08,860.0922
2000-05-16,882.96484
2000-05-24,866.927
2000-06-01,863.29535
2000-06-09,905.5977
2000-06-17,871.62134
2000-06-25,876.8125
2000-07-03,864.2954
2000-07-11,924.57227
2000-07-19,914.70593
2000-07-27,919.7183
2000-08-04,896.1775
2000-08-12,1020.5642
2000-08-20,886.8644
2000-08-28,802.7012
2000-09-05,864.08075
2000-09-13,1070.2994
2000-09-21,943.5995
2000-09-29,869.0551
2000-10-07,846.4475
2000-10-15,915.3252
2000-10-23,914.80133
2000-10-31,829.21533
2000-11-08,966.1811
2000-11-16,936.4348
2000-11-24,912.892
2000-12-02,848.10986
2000-12-10,815.74774
2000-12-18,925.7733
2000-12-26,909.37836
2001-01-01,941.94543
2001-01-09,940.0638
2001-01-17,755.66925
2001-01-25,971.1899
2001-02-02,1007.20886
2001-02-10,920.4987
2001-02-18,1038.188
2001-02-26,980.47125
2001-03-06,1066.5815
2001-03-14,859.6687
2001-03-22,803.4065
2001-03-30,883.9225
2001-04-07,866.81024
2001-04-15,767.57587
2001-04-23,862.0234
2001-05-01,1061.0254
2001-05-09,946.64496
2001-05-17,922.0945
2001-05-25,869.76294
2001-06-02,945.7614
2001-06-10,814.1151
2001-06-18,771.43616
2001-06-26,840.26337
2001-07-04,865.66656
2001-07-12,881.5105
2001-07-20,982.28546
2001-07-28,803.5324
2001-08-05,748.10754
2001-08-13,854.41266
2001-08-21,913.8655
2001-08-29,1103.9703
2001-09-06,880.4314
2001-09-14,1145.5181
2001-09-22,831.8812
2001-09-30,1034.528
2001-10-08,958.25714
2001-10-16,736.7776
2001-10-24,959.91125
2001-11-01,917.9335
2001-11-09,829.4513
2001-11-17,1014.2116
2001-11-25,1013.66534
2001-12-03,957.23785
2001-12-11,912.0208
2001-12-19,1007.68024
2001-12-27,1094.6621
2002-01-01,734.30927
2002-01-09,879.8782
2002-01-17,813.24426
2002-01-25,895.7029
2002-02-02,828.6072
2002-02-10,817.34564
2002-02-18,814.4894
2002-02-26,972.4841
2002-03-06,689.2781
2002-03-14,864.1057
2002-03-22,1012.2395
2002-03-30,801.1421
2002-04-07,934.1176
2002-04-15,890.7279
2002-04-23,1027.4438
2002-05-01,846.38983
2002-05-09,811.04376
2002-05-17,773.1033
2002-05-25,888.7918
2002-06-02,964.8622
2002-06-10,900.31067
2002-06-18,924.9509
2002-06-26,848.77814
2002-07-04,756.3904
2002-07-12,964.2002
2002-07-20,962.63196
2002-07-28,738.65546
2002-08-05,839.94586
2002-08-13,893.13495
2002-08-21,884.157
2002-08-29,983.9778
2002-09-06,776.2815
2002-09-14,863.0435
2002-09-22,797.2139
2002-09-30,921.23004
2002-10-08,796.3468
2002-10-16,810.50464
2002-10-24,882.532
2002-11-01,836.4905
2002-11-09,790.4583
2002-11-17,667.0178
2002-11-25,542.9651
2002-12-03,817.82684
2002-12-11,783.4586
2002-12-19,834.3811
2002-12-27,841.74506
2003-01-01,832.7845
2003-01-09,872.8282
2003-01-17,909.26636
2003-01-25,921.2564
2003-02-02,890.03064
2003-02-10,850.4201
2003-02-18,982.6556
2003-02-26,839.7766
2003-03-06,826.5286
2003-03-14,940.9767
2003-03-22,543.0203
2003-03-30,695.3712
2003-04-07,960.9922
2003-04-15,839.2283
2003-04-23,862.47797
2003-05-01,833.1349
2003-05-09,963.06903
2003-05-17,999.42523
2003-05-25,869.1207
2003-06-02,853.3273
2003-06-10,886.3892
2003-06-18,804.3058
2003-06-26,793.26666
2003-07-04,768.7942
2003-07-12,707.6132
2003-07-20,796.99335
2003-07-28,914.02625
2003-08-05,1024.5209
2003-08-13,960.87427
2003-08-21,927.50964
2003-08-29,824.6422
2003-09-06,875.45953
2003-09-14,894.26166
2003-09-22,865.3011
2003-09-30,823.4064
2003-10-08,764.40894
2003-10-16,811.2971
2003-10-24,992.42554
2003-11-01,864.27594
2003-11-09,909.9392
2003-11-17,828.62524
2003-11-25,795.0505
2003-12-03,904.8093
2003-12-11,794.4187
2003-12-19,858.85406
2003-12-27,957.7231
2004-01-01,827.45776
2004-01-09,943.1282
2004-01-17,848.8415
2004-01-25,920.2327
2004-02-02,913.3315
2004-02-10,793.118
2004-02-18,776.7939
2004-02-26,700.1622
2004-03-05,816.68207
2004-03-13,845.7107
2004-03-21,756.2988
2004-03-29,949.1391
2004-04-06,894.29126
2004-04-14,866.9132
2004-04-22,846.84894
2004-04-30,744.73016
2004-05-08,682.16656
2004-05-16,731.75806
2004-05-24,941.2971
2004-06-01,918.3701
2004-06-09,805.9521
2004-06-17,706.9742
2004-06-25,877.9206
2004-07-03,945.23956
2004-07-11,868.582
2004-07-19,860.3069
2004-07-27,849.5165
2004-08-04,741.7217
2004-08-12,891.96185
2004-08-20,839.02826
2004-08-28,934.156
2004-09-05,928.9607
2004-09-13,915.0647
2004-09-21,980.9915
2004-09-29,861.8897
2004-10-07,844.46075
2004-10-15,805.41364
2004-10-23,765.3961
2004-10-31,820.0987
2004-11-08,823.8284
2004-11-16,843.7601
2004-11-24,787.3579
2004-12-02,701.2107
2004-12-10,889.02344
2004-12-18,838.96295
2004-12-26,844.36786
2005-01-01,890.03467
2005-01-09,763.79767
2005-01-17,981.19226
2005-01-25,1020.0078
2005-02-02,795.7513
2005-02-10,957.88605
2005-02-18,886.65485
2005-02-26,1028.3135
2005-03-06,815.286
2005-03-14,740.4618
2005-03-22,853.1887
2005-03-30,804.59393
2005-04-07,732.18085
2005-04-15,738.7888
2005-04-23,799.63617
2005-05-01,842.24994
2005-05-09,902.52075
2005-05-17,896.40753
2005-05-25,867.32776
2005-06-02,798.57275
2005-06-10,772.3904
2005-06-18,790.5663
2005-06-26,734.5663
2005-07-04,757.7615
2005-07-12,819.4335
2005-07-20,828.4537
2005-07-28,845.81696
2005-08-05,980.3856
2005-08-13,931.97406
2005-08-21,985.81616
2005-08-29,920.6726
2005-09-06,1012.35187
