time,npp
1997-09-14,513.1643
1997-09-22,352.76642
1997-09-30,534.22925
1997-10-08,566.06116
1997-10-16,468.66666
1997-10-24,502.15735
1997-11-01,500.45416
1997-11-09,498.7011
1997-11-17,570.66895
1997-11-25,536.00757
1997-12-03,524.4546
1997-12-11,417.61185
1997-12-19,458.53473
1997-12-27,432.55652
1998-01-01,533.9353
1998-01-09,600.14465
1998-01-17,653.3302
1998-01-25,742.45966
1998-02-02,769.02893
1998-02-10,743.79877
1998-02-18,884.13074
1998-02-26,1031.3511
1998-03-06,758.2595
1998-03-14,1241.5271
1998-03-22,1136.5011
1998-03-30,1124.815
1998-04-07,945.6342
1998-04-15,1225.9691
1998-04-23,1122.3705
1998-05-01,1131.5935
1998-05-09,1008.166
1998-05-17,997.91144
1998-05-25,892.1552
1998-06-02,821.8194
1998-06-10,986.6351
1998-06-18,781.8008
1998-06-26,667.00366
1998-07-04,787.57745
1998-07-12,701.9075
1998-07-20,823.0819
1998-07-28,819.7022
1998-08-05,768.02936
1998-08-13,844.6525
1998-08-21,766.37036
1998-08-29,885.5295
1998-09-06,828.7578
1998-09-14,896.88367
1998-09-22,709.6472
1998-09-30,813.2338
1998-10-08,867.7849
1998-10-16,915.91907
1998-10-24,720.16284
1998-11-01,632.4936
1998-11-09,913.4363
1998-11-17,823.4896
1998-11-25,911.762
1998-12-03,865.42
1998-12-11,775.9319
1998-12-19,734.2915
1998-12-27,755.91394
1999-01-01,806.3455
1999-01-09,741.4403
1999-01-17,688.8247
1999-01-25,486.34506
1999-02-02,788.0629
1999-02-10,714.49097
1999-02-18,740.35486
1999-02-26,714.42755
1999-03-06,698.90186
1999-03-14,559.3824
1999-03-22,758.6388
1999-03-30,787.20996
1999-04-07,762.0617
1999-04-15,890.0709
1999-04-23,825.2329
1999-05-01,807.28906
1999-05-09,629.4304
1999-05-17,845.115
1999-05-25,968.86646
1999-06-02,737.537
1999-06-10,816.13464
1999-06-18,776.6508
1999-06-26,709.1043
1999-07-04,620.7068
1999-07-12,709.5965
1999-07-20,682.80566
1999-07-28,758.3317
1999-08-05,676.1199
1999-08-13,597.29706
1999-08-21,707.0128
1999-08-29,809.6949
1999-09-06,833.00476
1999-09-14,841.3208
1999-09-22,982.0167
1999-09-30,891.09045
1999-10-08,785.525
1999-10-16,766.2545
1999-10-24,852.7456
1999-11-01,805.39984
1999-11-09,610.9703
1999-11-17,800.2246
1999-11-25,619.04425
