time,npp
2012-01-01,567.4589
2012-01-09,981.9219
2012-01-17,924.18524
2012-01-25,901.61615
2012-02-02,802.56256
2012-02-10,848.6831
2012-02-18,657.6004
2012-02-26,826.65063
2012-03-05,870.20703
2012-03-13,809.4153
2012-03-21,654.9075
2012-03-29,776.3241
2012-04-06,800.835
2012-04-14,715.9995
2012-04-22,793.01807
2012-04-30,803.9988
2012-05-08,839.4524
2012-05-16,769.3346
2012-05-24,835.6486
2012-06-01,788.12445
2012-06-09,586.0165
2012-06-17,893.89136
2012-06-25,719.47974
2012-07-03,679.2059
2012-07-11,467.43442
2012-07-19,574.99664
2012-07-27,530.2255
2012-08-04,574.6831
2012-08-12,583.02716
2012-08-20,501.76917
2012-08-28,551.5398
2012-09-05,520.6397
2012-09-13,481.10748
2012-09-21,514.0644
2012-09-29,508.3929
2012-10-07,441.2369
2012-10-15,494.00537
2012-10-23,462.2513
2012-10-31,506.5939
2012-11-08,574.9816
2012-11-16,426.11096
2012-11-24,490.25354
2012-12-02,539.3943
2012-12-10,597.72577
2012-12-18,573.2722
2012-12-26,543.03314
2013-01-01,675.3133
2013-01-09,702.68335
2013-01-17,643.6381
2013-01-25,508.66956
2013-02-02,541.937
2013-02-10,678.07404
2013-02-18,870.86255
2013-02-26,823.33276
2013-03-06,728.35785
2013-03-14,849.31555
2013-03-22,650.55743
2013-03-30,907.7058
2013-04-07,723.87103
2013-04-15,910.51324
2013-04-23,810.6005
2013-05-01,874.1277
2013-05-09,906.9687
2013-05-17,678.57104
2013-05-25,827.77814
2013-06-02,831.218
2013-06-10,734.3235
2013-06-18,849.98334
2013-06-26,867.80493
2013-07-04,898.8397
2013-07-12,837.89246
2013-07-20,738.77716
2013-07-28,820.5114
2013-08-05,738.2388
2013-08-13,786.73785
2013-08-21,785.53
2013-08-29,809.82275
2013-09-06,869.3592
2013-09-14,827.4965
2013-09-22,820.41205
2013-09-30,788.80884
2013-10-08,813.19586
2013-10-16,802.7806
2013-10-24,676.7517
2013-11-01,525.42975
2013-11-09,643.5554
2013-11-17,634.5823
2013-11-25,627.9748
2013-12-03,725.62695
2013-12-11,844.6844
2013-12-19,753.69946
2013-12-27,594.74744
2014-01-01,677.6608
2014-01-09,556.3816
2014-01-17,733.97626
2014-01-25,688.6932
2014-02-02,719.5191
2014-02-10,613.89056
2014-02-18,497.62415
2014-02-26,602.6085
2014-03-06,661.20844
2014-03-14,570.26117
2014-03-22,618.0786
2014-03-30,629.50586
2014-04-07,465.7311
2014-04-15,582.1733
2014-04-23,706.97327
2014-05-01,610.133
2014-05-09,563.27277
2014-05-17,448.2785
2014-05-25,482.86713
2014-06-02,489.08664
2014-06-10,513.5022
2014-06-18,564.37823
2014-06-26,601.79443
2014-07-04,510.77576
2014-07-12,450.18167
2014-07-20,781.8266
2014-07-28,558.10144
2014-08-05,516.81616
2014-08-13,456.23422
2014-08-21,475.08783
2014-08-29,499.50803
2014-09-06,556.23816
2014-09-14,555.07007
2014-09-22,546.13684
2014-09-30,501.5595
2014-10-08,485.81815
2014-10-16,498.9591
2014-10-24,579.45056
2014-11-01,534.8985
2014-11-09,494.01584
2014-11-17,544.17993
2014-11-25,526.90704
2014-12-03,553.947
2014-12-11,533.3076
2014-12-19,428.26215
2014-12-27,447.29675
2015-01-01,513.1974
2015-01-09,541.79663
2015-01-17,462.25406
2015-01-25,450.93008
2015-02-02,548.7544
2015-02-10,483.95438
2015-02-18,559.36
2015-02-26,515.8717
2015-03-06,650.5022
2015-03-14,674.63666
2015-03-22,471.0932
2015-03-30,378.79797
2015-04-07,511.0736
2015-04-15,551.203
2015-04-23,573.7676
2015-05-01,512.9697
2015-05-09,776.9599
2015-05-17,595.91675
2015-05-25,625.83923
2015-06-02,604.27704
2015-06-10,435.0405
2015-06-18,569.56586
2015-06-26,603.2568
2015-07-04,721.66235
2015-07-12,604.5352
2015-07-20,595.5041
2015-07-28,555.9885
2015-08-05,641.4075
2015-08-13,676.41254
2015-08-21,549.5209
2015-08-29,510.76437
2015-09-06,560.14667
2015-09-14,475.35406
2015-09-22,427.38174
2015-09-30,534.1477
2015-10-08,408.99188
2015-10-16,544.2419
2015-10-24,568.09436
2015-11-01,468.2362
2015-11-09,391.5892
2015-11-17,492.04465
2015-11-25,531.0714
2015-12-03,534.64233
2015-12-11,539.59454
2015-12-19,372.2226
2015-12-27,529.3961
2016-01-01,529.21625
2016-01-09,537.8972
2016-01-17,481.01318
2016-01-25,406.7341
2016-02-02,436.66406
2016-02-10,528.6287
2016-02-18,449.50665
2016-02-26,451.9021
2016-03-05,529.32104
2016-03-13,576.65814
2016-03-21,502.0524
2016-03-29,675.24634
2016-04-06,715.2755
2016-04-14,888.17975
2016-04-22,839.3289
2016-04-30,735.3483
2016-05-08,1014.4195
2016-05-16,1109.3414
2016-05-24,881.25073
2016-06-01,672.765
2016-06-09,664.98035
2016-06-17,735.34357
2016-06-25,724.7205
2016-07-03,730.22485
2016-07-11,617.366
2016-07-19,629.60736
2016-07-27,645.58813
2016-08-04,701.9961
2016-08-12,780.805
2016-08-20,674.6991
2016-08-28,676.86255
2016-09-05,760.90857
2016-09-13,728.87006
2016-09-21,767.7149
2016-09-29,814.2954
2016-10-07,870.98676
2016-10-15,834.42816
2016-10-23,846.0889
2016-10-31,784.3004
2016-11-08,846.5636
2016-11-16,791.1988
2016-11-24,773.8192
2016-12-02,811.45874
2016-12-10,653.0188
2016-12-18,622.9642
2016-12-26,719.41187
2017-01-01,487.53168
2017-01-09,566.79315
2017-01-17,608.98016
2017-01-25,433.2496
2017-02-02,697.5018
2017-02-10,648.2805
2017-02-18,847.5553
2017-02-26,749.823
2017-03-06,901.32086
2017-03-14,766.07043
2017-03-22,778.814
2017-03-30,870.9725
2017-04-07,652.50354
2017-04-15,889.33716
2017-04-23,712.05133
2017-05-01,848.65753
2017-05-09,866.71277
2017-05-17,792.09106
2017-05-25,862.90753
2017-06-02,856.976
2017-06-10,784.25385
2017-06-18,756.4751
2017-06-26,723.098
2017-07-04,647.15717
2017-07-12,688.5545
2017-07-20,743.88696
2017-07-28,744.509
2017-08-05,601.575
2017-08-13,803.5201
2017-08-21,762.03577
2017-08-29,844.0434
2017-09-06,678.9475
2017-09-14,789.0551
2017-09-22,713.66907
2017-09-30,764.09155
2017-10-08,755.9178
2017-10-16,806.5263
2017-10-24,796.0517
2017-11-01,681.72534
2017-11-09,733.4432
2017-11-17,840.21643
2017-11-25,710.8255
2017-12-03,674.1447
2017-12-11,669.3489
2017-12-19,441.49905
2017-12-27,527.0554
2018-01-01,601.41766
2018-01-09,560.01404
2018-01-17,670.8943
2018-01-25,776.48505
2018-02-02,641.3976
2018-02-10,773.15814
2018-02-18,462.22397
2018-02-26,494.10938
2018-03-06,437.17322
2018-03-14,514.9191
2018-03-22,456.9297
2018-03-30,511.05008
2018-04-07,515.62976
2018-04-15,512.2464
2018-04-23,483.62024
2018-05-01,523.4005
2018-05-09,518.0787
2018-05-17,546.2859
2018-05-25,530.77124
2018-06-02,620.4461
2018-06-10,637.8144
2018-06-18,676.8588
2018-06-26,511.7743
2018-07-04,539.8113
2018-07-12,470.41098
2018-07-20,535.9103
2018-07-28,516.8938
2018-08-05,436.6845
2018-08-13,427.49966
2018-08-21,473.53494
2018-08-29,374.5302
2018-09-06,415.05774
2018-09-14,413.49292
2018-09-22,391.70923
2018-09-30,412.63553
2018-10-08,389.25522
2018-10-16,385.9853
2018-10-24,383.48285
2018-11-01,333.8142
2018-11-09,292.82733
2018-11-17,388.9034
2018-11-25,422.68692
2018-12-03,432.38202
2018-12-11,357.09854
2018-12-19,355.84286
2018-12-27,307.53662
2019-01-01,400.10046
2019-01-09,345.84183
2019-01-17,390.26535
2019-01-25,392.41724
2019-02-02,345.16077
2019-02-10,493.2306
2019-02-18,482.66803
2019-02-26,468.67844
2019-03-06,432.42834
2019-03-14,382.70062
2019-03-22,335.23895
2019-03-30,455.70828
2019-04-07,376.76233
2019-04-15,391.0552
2019-04-23,408.6691
2019-05-01,389.01126
2019-05-09,467.31235
2019-05-17,409.0116
2019-05-25,469.10715
2019-06-02,400.03156
2019-06-10,346.59494
2019-06-18,416.4652
2019-06-26,456.95465
2019-07-04,356.31207
2019-07-12,446.30655
2019-07-20,394.04425
2019-07-28,419.42294
2019-08-05,356.7563
2019-08-13,394.80496
2019-08-21,363.1565
2019-08-29,366.33383
2019-09-06,285.2578
2019-09-14,430.98203
2019-09-22,374.56653
2019-09-30,344.0085
2019-10-08,335.52234
2019-10-16,355.31577
2019-10-24,317.85583
2019-11-01,361.83337
2019-11-09,355.14
2019-11-17,263.13953
2019-11-25,383.20856
2019-12-03,429.88855
2019-12-11,320.34225
2019-12-19,328.35217
2019-12-27,394.9473
2020-01-01,366.6466
2020-01-09,338.1404
2020-01-17,372.0072
2020-01-25,394.49918
2020-02-02,319.7682
2020-02-10,336.41785
2020-02-18,368.3612
2020-02-26,372.37128
2020-03-05,327.96548
2020-03-13,385.3212
2020-03-21,351.69852
