time,npp
2012-01-01,944.4976
2012-01-09,730.2463
2012-01-17,797.2034
2012-01-25,848.68835
2012-02-02,827.5598
2012-02-10,658.44073
2012-02-18,727.61847
2012-02-26,836.2374
2012-03-05,803.7563
2012-03-13,724.37946
2012-03-21,895.03394
2012-03-29,769.3389
2012-04-06,852.5657
2012-04-14,633.9807
2012-04-22,687.17865
2012-04-30,732.5551
2012-05-08,898.99335
2012-05-16,861.49817
2012-05-24,749.0315
2012-06-01,717.11115
2012-06-09,784.1931
2012-06-17,829.2735
2012-06-25,649.8635
2012-07-03,586.6267
2012-07-11,641.13763
2012-07-19,678.469
2012-07-27,735.12
2012-08-04,836.7198
2012-08-12,811.02026
2012-08-20,786.74646
2012-08-28,748.4093
2012-09-05,591.4558
2012-09-13,837.99274
2012-09-21,792.3776
2012-09-29,793.2664
2012-10-07,935.7179
2012-10-15,962.43317
2012-10-23,751.86005
2012-10-31,752.592
2012-11-08,607.1193
2012-11-16,719.99805
2012-11-24,708.2023
2012-12-02,974.4758
2012-12-10,955.52075
2012-12-18,718.5877
2012-12-26,714.2678
2013-01-01,693.1483
2013-01-09,863.204
2013-01-17,979.7566
2013-01-25,897.4486
2013-02-02,981.58356
2013-02-10,684.581
2013-02-18,927.27136
2013-02-26,903.9744
2013-03-06,833.47327
2013-03-14,959.3259
2013-03-22,988.2779
2013-03-30,1036.5974
2013-04-07,918.60406
2013-04-15,853.9402
2013-04-23,858.12994
2013-05-01,805.81085
2013-05-09,825.26746
2013-05-17,856.049
2013-05-25,817.9625
2013-06-02,827.89966
2013-06-10,739.54956
2013-06-18,850.2116
2013-06-26,790.54486
2013-07-04,860.0574
2013-07-12,769.15753
2013-07-20,798.86035
2013-07-28,812.4188
2013-08-05,833.39215
2013-08-13,905.6858
2013-08-21,882.1856
2013-08-29,809.14624
2013-09-06,837.13654
2013-09-14,698.21216
2013-09-22,883.91547
2013-09-30,718.29755
2013-10-08,739.8358
2013-10-16,662.8052
2013-10-24,759.8484
2013-11-01,808.1711
2013-11-09,783.565
2013-11-17,887.6841
2013-11-25,855.95325
2013-12-03,833.5347
2013-12-11,899.9876
2013-12-19,908.1774
2013-12-27,592.07916
2014-01-01,713.82196
2014-01-09,826.2063
2014-01-17,846.2492
2014-01-25,851.99146
2014-02-02,859.6809
2014-02-10,938.20215
2014-02-18,1026.0359
2014-02-26,833.01294
2014-03-06,827.58575
2014-03-14,677.88275
2014-03-22,902.6173
2014-03-30,834.7564
2014-04-07,877.70135
2014-04-15,748.55884
2014-04-23,826.73096
2014-05-01,920.92316
2014-05-09,889.44336
2014-05-17,698.928
2014-05-25,778.10175
2014-06-02,664.4175
2014-06-10,768.2971
2014-06-18,809.8422
2014-06-26,734.1332
2014-07-04,800.84607
2014-07-12,896.43567
2014-07-20,868.6661
2014-07-28,870.01105
2014-08-05,843.8635
2014-08-13,877.19
2014-08-21,922.6267
2014-08-29,875.5748
2014-09-06,988.23645
2014-09-14,1002.84796
2014-09-22,731.5276
2014-09-30,740.0257
2014-10-08,900.1684
2014-10-16,950.32605
2014-10-24,969.0759
2014-11-01,977.5999
2014-11-09,875.6074
2014-11-17,867.5686
2014-11-25,803.69135
2014-12-03,906.0649
2014-12-11,829.6594
2014-12-19,909.4976
2014-12-27,809.4449
2015-01-01,870.7334
2015-01-09,960.5626
2015-01-17,902.65485
2015-01-25,744.5817
2015-02-02,827.98706
2015-02-10,815.35864
2015-02-18,955.803
2015-02-26,848.4804
2015-03-06,899.2704
2015-03-14,804.25
2015-03-22,748.4002
2015-03-30,800.20966
2015-04-07,782.01874
2015-04-15,755.8357
2015-04-23,805.68024
2015-05-01,550.37524
2015-05-09,859.3805
2015-05-17,835.8623
2015-05-25,554.6166
2015-06-02,569.5974
2015-06-10,572.3852
2015-06-18,612.9566
2015-06-26,623.5898
2015-07-04,624.111
2015-07-12,561.3342
2015-07-20,531.91064
2015-07-28,555.72974
2015-08-05,563.1823
2015-08-13,539.2651
2015-08-21,524.80414
2015-08-29,520.0636
2015-09-06,454.04987
2015-09-14,470.32904
2015-09-22,473.55258
2015-09-30,420.4429
2015-10-08,518.21405
2015-10-16,581.87305
2015-10-24,480.66275
2015-11-01,449.84448
2015-11-09,420.5536
2015-11-17,422.26645
2015-11-25,448.827
2015-12-03,599.4874
2015-12-11,410.7118
2015-12-19,463.4508
2015-12-27,446.6345
2016-01-01,465.19302
2016-01-09,372.1869
2016-01-17,547.1828
2016-01-25,513.36743
2016-02-02,444.59717
2016-02-10,484.9497
2016-02-18,503.03552
2016-02-26,419.14798
2016-03-05,587.0642
2016-03-13,818.777
2016-03-21,707.53516
2016-03-29,778.14954
2016-04-06,667.7638
2016-04-14,867.14795
2016-04-22,644.0199
