time,npp
2002-07-04,533.40576
2002-07-12,557.752
2002-07-20,625.0608
2002-07-28,618.80524
2002-08-05,605.9656
2002-08-13,582.93604
2002-08-21,519.74884
2002-08-29,644.6492
2002-09-06,557.028
2002-09-14,599.8761
2002-09-22,634.2615
2002-09-30,544.1511
2002-10-08,564.7406
2002-10-16,675.3384
2002-10-24,540.5593
2002-11-01,541.43555
2002-11-09,583.9537
2002-11-17,582.69653
2002-11-25,491.7767
2002-12-03,514.41455
2002-12-11,537.7322
2002-12-19,533.3658
2002-12-27,498.88315
2003-01-01,578.4511
2003-01-09,549.38403
2003-01-17,677.75934
2003-01-25,666.2627
2003-02-02,566.7711
2003-02-10,591.5095
2003-02-18,652.7218
2003-02-26,700.6439
2003-03-06,664.518
2003-03-14,798.36554
2003-03-22,718.3444
2003-03-30,643.04803
2003-04-07,625.80206
2003-04-15,682.7793
2003-04-23,741.46466
2003-05-01,1206.5682
2003-05-09,1061.729
2003-05-17,648.9868
2003-05-25,787.3205
2003-06-02,1469.7836
2003-06-10,1248.1996
2003-06-18,889.99725
2003-06-26,660.04236
2003-07-04,578.1243
2003-07-12,571.0876
2003-07-20,654.9962
2003-07-28,548.9689
2003-08-05,523.35583
2003-08-13,539.9197
2003-08-21,590.60004
2003-08-29,537.7949
2003-09-06,549.8018
2003-09-14,568.84766
2003-09-22,577.8929
2003-09-30,598.8308
2003-10-08,649.22217
2003-10-16,547.25464
2003-10-24,506.90027
2003-11-01,547.70105
2003-11-09,546.93134
2003-11-17,542.04834
2003-11-25,572.53754
2003-12-03,555.47296
2003-12-11,535.8098
2003-12-19,530.6319
2003-12-27,493.5561
2004-01-01,505.15305
2004-01-09,574.5032
2004-01-17,614.4292
2004-01-25,554.8323
2004-02-02,630.8476
2004-02-10,625.9506
2004-02-18,582.6263
2004-02-26,575.5512
2004-03-05,563.9514
2004-03-13,721.7237
2004-03-21,733.9257
2004-03-29,723.7029
2004-04-06,689.0671
2004-04-14,717.6257
2004-04-22,533.51105
2004-04-30,624.2654
2004-05-08,681.083
2004-05-16,687.7131
2004-05-24,601.58673
2004-06-01,612.9497
2004-06-09,636.16254
2004-06-17,622.86
2004-06-25,554.8479
2004-07-03,587.88416
2004-07-11,670.7389
2004-07-19,628.27734
2004-07-27,653.8805
2004-08-04,607.5345
2004-08-12,477.3107
2004-08-20,500.80826
2004-08-28,482.99936
2004-09-05,522.45135
