time,npp
2002-07-04,488.01205
2002-07-12,416.78088
2002-07-20,394.59058
2002-07-28,352.0316
2002-08-05,371.81577
2002-08-13,427.20566
2002-08-21,407.81653
2002-08-29,430.52518
2002-09-06,461.06244
2002-09-14,381.1457
2002-09-22,374.5769
2002-09-30,609.3528
2002-10-08,518.82635
2002-10-16,535.6224
2002-10-24,495.00433
2002-11-01,432.43652
2002-11-09,386.89514
2002-11-17,381.91727
2002-11-25,549.7133
2002-12-03,501.22058
2002-12-11,500.42773
2002-12-19,467.10666
2002-12-27,380.79355
2003-01-01,418.08664
2003-01-09,372.21762
2003-01-17,386.62924
2003-01-25,348.4263
2003-02-02,363.46075
2003-02-10,349.7579
2003-02-18,353.08127
2003-02-26,394.02167
2003-03-06,359.7526
2003-03-14,374.72513
2003-03-22,482.6046
2003-03-30,534.7095
2003-04-07,441.08026
2003-04-15,496.60953
2003-04-23,503.693
2003-05-01,637.8417
2003-05-09,725.98566
2003-05-17,772.04926
2003-05-25,729.79175
2003-06-02,708.8258
2003-06-10,420.34116
2003-06-18,417.0756
2003-06-26,465.28766
2003-07-04,409.68884
2003-07-12,388.4297
2003-07-20,432.23135
2003-07-28,395.92487
2003-08-05,368.57202
2003-08-13,336.0492
2003-08-21,313.43524
2003-08-29,321.92535
2003-09-06,378.70914
2003-09-14,430.66214
2003-09-22,465.22693
2003-09-30,353.5653
2003-10-08,567.8247
2003-10-16,426.51657
2003-10-24,460.2354
2003-11-01,415.34955
2003-11-09,420.29654
2003-11-17,346.59756
2003-11-25,379.48203
2003-12-03,372.19937
2003-12-11,366.41937
2003-12-19,335.2497
2003-12-27,372.71457
2004-01-01,372.87595
2004-01-09,333.84033
2004-01-17,370.139
2004-01-25,375.1363
2004-02-02,403.58337
2004-02-10,380.43213
2004-02-18,516.89496
2004-02-26,512.4903
2004-03-05,773.00464
2004-03-13,717.40686
2004-03-21,689.85547
2004-03-29,637.22766
2004-04-06,516.344
2004-04-14,379.3342
2004-04-22,413.04318
2004-04-30,387.2525
2004-05-08,480.08823
2004-05-16,528.9487
2004-05-24,515.06616
2004-06-01,424.13504
2004-06-09,408.52274
2004-06-17,512.44525
2004-06-25,483.96008
2004-07-03,421.4229
2004-07-11,356.55286
2004-07-19,367.96915
2004-07-27,412.43228
2004-08-04,421.58768
2004-08-12,369.7606
2004-08-20,431.59894
2004-08-28,390.67163
2004-09-05,373.63004
2004-09-13,385.32272
2004-09-21,321.75705
2004-09-29,306.57986
2004-10-07,364.66522
2004-10-15,345.58456
2004-10-23,300.62625
2004-10-31,360.15765
2004-11-08,360.71884
2004-11-16,360.60828
2004-11-24,339.86057
2004-12-02,314.38376
2004-12-10,445.35583
2004-12-18,367.9948
2004-12-26,327.58566
2005-01-01,360.35703
2005-01-09,322.34055
2005-01-17,330.77237
2005-01-25,272.30206
2005-02-02,336.1323
2005-02-10,341.8019
2005-02-18,309.94983
2005-02-26,345.88882
2005-03-06,422.354
2005-03-14,379.48718
2005-03-22,359.90125
2005-03-30,469.9202
2005-04-07,600.84125
2005-04-15,877.9813
2005-04-23,709.5943
2005-05-01,598.68896
2005-05-09,726.1031
2005-05-17,682.10895
2005-05-25,465.78088
2005-06-02,469.46268
2005-06-10,426.9633
