time,npp
1997-09-14,693.75073
1997-09-22,717.15753
1997-09-30,566.602
1997-10-08,707.57336
1997-10-16,581.1199
1997-10-24,595.6042
1997-11-01,451.05823
1997-11-09,329.91058
1997-11-17,330.14005
1997-11-25,268.27542
1997-12-03,330.682
1997-12-11,299.27155
1997-12-19,302.48163
1997-12-27,316.68103
1998-01-01,376.5985
1998-01-09,367.62952
1998-01-17,422.1574
1998-01-25,486.8176
1998-02-02,571.6466
1998-02-10,488.44586
1998-02-18,563.53436
1998-02-26,505.0307
1998-03-06,575.7651
1998-03-14,548.78253
1998-03-22,579.39764
1998-03-30,583.2725
1998-04-07,650.5154
1998-04-15,609.6248
1998-04-23,547.9475
1998-05-01,501.7057
1998-05-09,590.04114
1998-05-17,700.72375
1998-05-25,668.38806
1998-06-02,675.8445
1998-06-10,890.1124
1998-06-18,1091.5125
1998-06-26,1499.9995
1998-07-04,1237.7552
1998-07-12,938.23706
1998-07-20,1262.4032
1998-07-28,1298.6256
1998-08-05,1359.7299
1998-08-13,1052.8647
1998-08-21,747.2042
1998-08-29,614.69995
1998-09-06,545.22534
1998-09-14,545.4558
1998-09-22,553.86224
1998-09-30,569.4546
1998-10-08,538.6507
1998-10-16,526.03186
1998-10-24,497.48254
1998-11-01,481.88977
1998-11-09,507.12646
1998-11-17,508.6174
1998-11-25,491.69202
1998-12-03,502.05475
1998-12-11,486.33084
1998-12-19,602.6362
1998-12-27,518.2504
1999-01-01,557.9135
1999-01-09,471.33942
1999-01-17,550.0045
1999-01-25,507.80447
1999-02-02,534.7535
1999-02-10,564.1397
1999-02-18,536.71295
1999-02-26,559.5074
1999-03-06,555.82526
1999-03-14,565.15125
1999-03-22,606.3359
1999-03-30,660.8062
1999-04-07,813.83246
1999-04-15,651.641
1999-04-23,631.92206
1999-05-01,727.9758
1999-05-09,632.96954
1999-05-17,679.7561
1999-05-25,709.2805
1999-06-02,644.9763
1999-06-10,615.77765
1999-06-18,559.4046
1999-06-26,653.69464
1999-07-04,686.13416
1999-07-12,721.997
1999-07-20,643.45905
1999-07-28,635.4952
1999-08-05,690.4969
1999-08-13,614.39954
1999-08-21,697.7692
1999-08-29,622.8744
1999-09-06,692.0216
1999-09-14,588.74835
1999-09-22,684.78705
1999-09-30,639.737
1999-10-08,600.19165
1999-10-16,657.70496
1999-10-24,661.1824
1999-11-01,557.135
1999-11-09,515.1354
1999-11-17,608.8666
1999-11-25,614.5798
1999-12-03,568.67725
1999-12-11,620.1692
1999-12-19,593.1765
1999-12-27,512.13043
2000-01-01,606.3785
2000-01-09,483.6312
2000-01-17,519.04956
2000-01-25,597.25757
2000-02-02,567.9315
2000-02-10,606.2654
2000-02-18,523.68976
2000-02-26,710.0901
2000-03-05,575.01733
2000-03-13,703.32794
2000-03-21,692.6087
2000-03-29,644.02545
2000-04-06,650.97614
2000-04-14,612.5591
2000-04-22,678.85034
2000-04-30,574.2147
2000-05-08,648.1262
2000-05-16,760.5087
2000-05-24,682.5757
2000-06-01,672.9885
2000-06-09,784.1265
2000-06-17,707.6007
2000-06-25,728.788
2000-07-03,780.6522
2000-07-11,808.7999
2000-07-19,770.7369
2000-07-27,730.0143
2000-08-04,681.0363
2000-08-12,644.61365
2000-08-20,703.6458
2000-08-28,650.39667
2000-09-05,729.10455
2000-09-13,599.31335
2000-09-21,650.19794
2000-09-29,525.3305
2000-10-07,637.9976
2000-10-15,595.66833
2000-10-23,516.0699
2000-10-31,532.7495
2000-11-08,609.7652
2000-11-16,549.3616
2000-11-24,522.8261
2000-12-02,582.6551
2000-12-10,593.67584
2000-12-18,568.8669
2000-12-26,542.29755
2001-01-01,617.91974
2001-01-09,595.48254
2001-01-17,584.09674
2001-01-25,522.9146
2001-02-02,608.8486
2001-02-10,611.3948
2001-02-18,552.917
2001-02-26,649.813
2001-03-06,691.9895
2001-03-14,632.2275
2001-03-22,589.1836
2001-03-30,633.63293
2001-04-07,675.02435
2001-04-15,658.45825
2001-04-23,649.39215
2001-05-01,788.3724
2001-05-09,740.2099
2001-05-17,651.2613
2001-05-25,690.90295
2001-06-02,718.86127
2001-06-10,725.8019
2001-06-18,684.80347
2001-06-26,786.42523
2001-07-04,783.3401
2001-07-12,718.5455
2001-07-20,718.71564
2001-07-28,797.97974
2001-08-05,726.9618
2001-08-13,748.0796
2001-08-21,756.60266
2001-08-29,819.3234
2001-09-06,775.2982
2001-09-14,766.7027
2001-09-22,751.0877
2001-09-30,740.52155
2001-10-08,602.111
2001-10-16,556.5643
2001-10-24,695.7111
2001-11-01,591.5437
2001-11-09,572.0227
2001-11-17,590.32294
2001-11-25,635.92847
2001-12-03,613.44385
2001-12-11,583.44885
2001-12-19,681.92926
2001-12-27,709.74164
2002-01-01,605.201
2002-01-09,600.84186
