time,npp
1997-09-14,404.68982
1997-09-22,365.08905
1997-09-30,399.35226
1997-10-08,477.628
1997-10-16,363.6255
1997-10-24,468.14172
1997-11-01,454.69348
1997-11-09,424.74323
1997-11-17,413.1476
1997-11-25,375.25824
1997-12-03,397.46082
1997-12-11,377.14075
1997-12-19,355.22736
1997-12-27,391.402
1998-01-01,411.8583
1998-01-09,386.51245
1998-01-17,583.7432
1998-01-25,664.04175
1998-02-02,549.76324
1998-02-10,505.89926
1998-02-18,733.67664
1998-02-26,842.28564
1998-03-06,536.19464
1998-03-14,1021.5388
1998-03-22,999.4749
1998-03-30,1087.2552
1998-04-07,1096.19
1998-04-15,1002.37946
1998-04-23,1271.019
1998-05-01,1226.0242
1998-05-09,908.0274
1998-05-17,857.28467
1998-05-25,864.4742
1998-06-02,762.4556
1998-06-10,804.80035
1998-06-18,726.08374
1998-06-26,652.06177
1998-07-04,722.63074
1998-07-12,600.7925
1998-07-20,758.227
1998-07-28,755.5956
1998-08-05,636.4042
1998-08-13,667.9636
1998-08-21,619.37616
1998-08-29,704.9671
1998-09-06,672.54224
1998-09-14,771.34937
1998-09-22,887.8899
1998-09-30,848.97327
1998-10-08,785.22345
1998-10-16,761.32654
1998-10-24,807.0945
1998-11-01,755.9192
1998-11-09,736.33716
1998-11-17,650.87775
1998-11-25,630.5411
1998-12-03,552.10596
1998-12-11,606.1512
1998-12-19,626.7774
1998-12-27,588.7732
1999-01-01,670.4222
1999-01-09,584.32874
1999-01-17,582.09033
1999-01-25,593.6101
1999-02-02,640.37585
1999-02-10,566.05194
1999-02-18,667.65405
1999-02-26,609.0063
1999-03-06,676.65985
1999-03-14,655.5066
1999-03-22,639.9828
1999-03-30,660.2546
1999-04-07,689.188
1999-04-15,614.0266
1999-04-23,638.86847
1999-05-01,659.5134
1999-05-09,580.1144
1999-05-17,615.75757
1999-05-25,738.1824
1999-06-02,774.0991
1999-06-10,591.76404
1999-06-18,597.4427
1999-06-26,577.0751
1999-07-04,569.1028
1999-07-12,609.02356
1999-07-20,603.3163
1999-07-28,582.8717
1999-08-05,488.96207
1999-08-13,466.2578
1999-08-21,597.14136
1999-08-29,694.97015
1999-09-06,655.5011
1999-09-14,728.7112
1999-09-22,729.81824
1999-09-30,713.83655
1999-10-08,744.1067
1999-10-16,708.753
1999-10-24,724.7186
1999-11-01,684.74054
1999-11-09,688.52936
1999-11-17,649.48267
1999-11-25,739.80804
1999-12-03,703.574
1999-12-11,772.91675
1999-12-19,728.76013
1999-12-27,782.46313
2000-01-01,685.60394
2000-01-09,694.06244
2000-01-17,659.3077
2000-01-25,622.05536
2000-02-02,779.8023
2000-02-10,666.21857
2000-02-18,658.38306
2000-02-26,699.7794
2000-03-05,612.9404
2000-03-13,711.03784
2000-03-21,729.4043
2000-03-29,648.77594
2000-04-06,697.9077
2000-04-14,725.267
2000-04-22,702.36707
2000-04-30,582.6467
2000-05-08,704.9945
2000-05-16,899.01685
2000-05-24,790.76636
2000-06-01,716.977
2000-06-09,687.7381
2000-06-17,637.11755
2000-06-25,601.80566
2000-07-03,659.546
2000-07-11,603.63354
2000-07-19,520.7969
2000-07-27,539.83765
2000-08-04,532.49243
2000-08-12,769.4875
2000-08-20,935.0613
2000-08-28,793.6847
2000-09-05,725.4165
2000-09-13,566.7141
2000-09-21,668.70557
2000-09-29,678.38947
2000-10-07,807.695
2000-10-15,757.5988
2000-10-23,704.602
2000-10-31,650.6682
2000-11-08,741.455
2000-11-16,546.2478
2000-11-24,698.8826
2000-12-02,771.65735
2000-12-10,680.55023
2000-12-18,654.2935
2000-12-26,643.2754
2001-01-01,780.25287
2001-01-09,761.4719
2001-01-17,767.41895
2001-01-25,726.86755
2001-02-02,671.54846
2001-02-10,619.06384
2001-02-18,621.38477
2001-02-26,688.3997
2001-03-06,741.45953
2001-03-14,947.1871
2001-03-22,722.3471
2001-03-30,661.2151
2001-04-07,708.80194
2001-04-15,707.0266
2001-04-23,690.59717
2001-05-01,678.6386
2001-05-09,661.9773
2001-05-17,645.9066
2001-05-25,572.4937
2001-06-02,630.2041
2001-06-10,597.1143
2001-06-18,747.9469
2001-06-26,586.6433
2001-07-04,416.5941
2001-07-12,384.56433
2001-07-20,340.29007
2001-07-28,373.5949
2001-08-05,359.0405
2001-08-13,432.18573
2001-08-21,423.86655
2001-08-29,377.9658
2001-09-06,366.9789
2001-09-14,321.8281
2001-09-22,359.44168
2001-09-30,394.31857
2001-10-08,567.2035
2001-10-16,585.5841
2001-10-24,584.2897
2001-11-01,568.5458
2001-11-09,438.3811
2001-11-17,500.00558
2001-11-25,530.40137
2001-12-03,373.72723
2001-12-11,442.0098
2001-12-19,523.7888
2001-12-27,406.2491
2002-01-01,396.61615
2002-01-09,420.60187
2002-01-17,371.8031
2002-01-25,367.1897
2002-02-02,374.84534
2002-02-10,389.24335
2002-02-18,404.21655
2002-02-26,422.62595
2002-03-06,419.58014
2002-03-14,408.6562
2002-03-22,363.82162
2002-03-30,352.70828
2002-04-07,384.84393
2002-04-15,444.78296
2002-04-23,353.13513
2002-05-01,367.2314
2002-05-09,364.27066
2002-05-17,419.2833
2002-05-25,368.87463
2002-06-02,303.2189
2002-06-10,311.41458
2002-06-18,321.57254
2002-06-26,407.8661
2002-07-04,521.7782
2002-07-12,410.29376
2002-07-20,381.39865
2002-07-28,387.34143
2002-08-05,366.38574
2002-08-13,410.21545
2002-08-21,418.8734
2002-08-29,444.1989
2002-09-06,415.84506
2002-09-14,401.6242
2002-09-22,376.38223
2002-09-30,601.43774
2002-10-08,573.45605
2002-10-16,558.6022
2002-10-24,486.49365
2002-11-01,407.33914
2002-11-09,372.75537
2002-11-17,408.81384
2002-11-25,445.08453
2002-12-03,642.2404
2002-12-11,494.88727
2002-12-19,422.18494
2002-12-27,380.1563
2003-01-01,365.68692
2003-01-09,341.908
2003-01-17,351.992
2003-01-25,361.131
2003-02-02,387.28757
2003-02-10,347.79602
2003-02-18,297.0065
2003-02-26,368.0028
2003-03-06,406.73593
2003-03-14,388.20142
2003-03-22,486.35742
2003-03-30,425.5058
2003-04-07,441.7061
2003-04-15,521.0835
2003-04-23,543.5917
2003-05-01,610.1373
2003-05-09,658.6169
2003-05-17,758.8472
2003-05-25,724.3033
2003-06-02,675.9508
2003-06-10,389.0199
2003-06-18,431.18237
2003-06-26,439.63574
2003-07-04,386.90747
2003-07-12,393.03052
2003-07-20,460.69943
2003-07-28,447.13562
2003-08-05,384.04367
2003-08-13,346.43713
2003-08-21,330.30118
2003-08-29,346.8636
2003-09-06,348.36127
2003-09-14,467.9823
2003-09-22,536.3606
2003-09-30,405.647
2003-10-08,534.43713
2003-10-16,430.45367
2003-10-24,472.1647
2003-11-01,387.803
2003-11-09,372.4342
2003-11-17,365.86685
2003-11-25,386.63083
2003-12-03,349.27002
2003-12-11,315.0078
2003-12-19,369.97327
2003-12-27,343.8207
2004-01-01,365.65393
2004-01-09,365.0231
2004-01-17,362.3868
2004-01-25,339.28787
2004-02-02,364.74466
