time,npp
2012-01-25,744.85895
2012-02-02,595.29987
2012-02-10,553.3683
2012-02-18,557.158
2012-02-26,579.1527
2012-03-05,757.9988
2012-03-13,725.23486
2012-03-21,782.9428
2012-03-29,604.795
2012-04-06,638.2019
2012-04-14,615.38696
2012-04-22,622.65814
2012-04-30,683.4335
2012-05-08,680.29956
2012-05-16,668.8693
2012-05-24,681.4845
2012-06-01,670.3836
2012-06-09,653.9698
2012-06-17,639.337
2012-06-25,714.3272
2012-07-03,626.28894
2012-07-11,681.7213
2012-07-19,660.89215
2012-07-27,693.92224
2012-08-04,709.8692
2012-08-12,626.18024
2012-08-20,703.5907
2012-08-28,683.7633
2012-09-05,683.9476
2012-09-13,653.9528
2012-09-21,704.51117
2012-09-29,774.33606
2012-10-07,710.0622
2012-10-15,725.73584
2012-10-23,668.62726
2012-10-31,719.5616
2012-11-08,760.97864
2012-11-16,554.3624
2012-11-24,651.326
2012-12-02,670.40796
2012-12-10,689.7886
2012-12-18,650.82886
2012-12-26,693.0103
2013-01-01,603.31604
2013-01-09,739.9803
2013-01-17,628.8983
2013-01-25,637.10175
2013-02-02,574.94965
2013-02-10,647.022
2013-02-18,618.03156
2013-02-26,659.2329
2013-03-06,662.38007
2013-03-14,688.97614
2013-03-22,794.9246
2013-03-30,657.9582
2013-04-07,646.37366
2013-04-15,620.51764
2013-04-23,675.9232
2013-05-01,677.76654
2013-05-09,653.2347
2013-05-17,647.19684
2013-05-25,640.09064
2013-06-02,651.0047
2013-06-10,675.1458
2013-06-18,641.93317
2013-06-26,690.5436
2013-07-04,745.96204
2013-07-12,714.2658
2013-07-20,791.3043
2013-07-28,682.0292
2013-08-05,754.3982
2013-08-13,673.0598
2013-08-21,629.67535
2013-08-29,628.7943
2013-09-06,643.5845
2013-09-14,553.77185
2013-09-22,671.5154
2013-09-30,626.8293
2013-10-08,640.21606
2013-10-16,547.57983
2013-10-24,641.9583
2013-11-01,591.932
2013-11-09,598.6339
2013-11-17,610.2279
2013-11-25,665.84985
2013-12-03,645.72205
2013-12-11,666.624
2013-12-19,604.44415
2013-12-27,650.18317
2014-01-01,624.0454
2014-01-09,591.737
2014-01-17,598.1612
2014-01-25,612.15796
2014-02-02,593.621
2014-02-10,611.3031
2014-02-18,633.2446
2014-02-26,571.30054
2014-03-06,597.6072
2014-03-14,663.7101
2014-03-22,587.1818
2014-03-30,581.0721
2014-04-07,552.1985
2014-04-15,632.0842
2014-04-23,588.2156
2014-05-01,613.3082
2014-05-09,671.6494
2014-05-17,652.45
2014-05-25,670.11096
2014-06-02,634.029
2014-06-10,656.67706
2014-06-18,687.9904
2014-06-26,676.947
2014-07-04,686.4726
2014-07-12,724.7568
2014-07-20,677.557
2014-07-28,631.85004
2014-08-05,635.79346
2014-08-13,676.4258
2014-08-21,672.2487
2014-08-29,599.78595
2014-09-06,578.53394
2014-09-14,553.21594
2014-09-22,607.9131
2014-09-30,654.22266
2014-10-08,628.2942
2014-10-16,595.2851
2014-10-24,636.1577
2014-11-01,570.48413
2014-11-09,643.31995
2014-11-17,650.00104
2014-11-25,886.0863
2014-12-03,746.69604
2014-12-11,640.60547
2014-12-19,650.8778
2014-12-27,632.03094
2015-01-01,672.92474
2015-01-09,611.96857
2015-01-17,574.60333
2015-01-25,698.4195
2015-02-02,617.4478
2015-02-10,631.4774
2015-02-18,681.4088
2015-02-26,612.81824
2015-03-06,630.24603
2015-03-14,541.83813
2015-03-22,685.7985
2015-03-30,582.88086
2015-04-07,578.1568
2015-04-15,596.88696
2015-04-23,577.0051
2015-05-01,646.9181
2015-05-09,659.3431
2015-05-17,694.17847
2015-05-25,739.17175
2015-06-02,770.89215
2015-06-10,730.6179
2015-06-18,771.3182
2015-06-26,711.3334
2015-07-04,648.7486
2015-07-12,635.5919
2015-07-20,614.16943
2015-07-28,806.9588
2015-08-05,717.57544
2015-08-13,709.03613
2015-08-21,706.9674
2015-08-29,650.6659
2015-09-06,602.6038
2015-09-14,628.65485
2015-09-22,623.56805
2015-09-30,717.19
2015-10-08,579.74976
2015-10-16,605.62134
2015-10-24,502.0369
2015-11-01,400.8696
2015-11-09,435.69702
2015-11-17,362.70456
2015-11-25,413.46375
2015-12-03,364.28983
2015-12-11,378.68274
2015-12-19,568.4162
2015-12-27,522.4106
2016-01-01,555.78766
2016-01-09,560.45764
2016-01-17,391.3217
2016-01-25,318.07294
2016-02-02,416.88214
2016-02-10,595.33997
2016-02-18,539.62195
2016-02-26,519.847
2016-03-05,665.7622
2016-03-13,623.45544
2016-03-21,703.55756
2016-03-29,621.48004
2016-04-06,627.0609
2016-04-14,553.31506
2016-04-22,589.4451
2016-04-30,672.01917
2016-05-08,709.2803
2016-05-16,787.10925
2016-05-24,768.62573
2016-06-01,709.9953
2016-06-09,751.2899
2016-06-17,755.2206
2016-06-25,810.34955
2016-07-03,902.7547
2016-07-11,857.2766
2016-07-19,776.84674
2016-07-27,789.19525
2016-08-04,714.09216
2016-08-12,646.31805
2016-08-20,699.6725
2016-08-28,678.5088
2016-09-05,769.5869
2016-09-13,643.28186
2016-09-21,554.11316
2016-09-29,565.0102
2016-10-07,514.8574
2016-10-15,548.07996
2016-10-23,560.5431
2016-10-31,599.33344
2016-11-08,561.86487
2016-11-16,516.68396
2016-11-24,569.69946
2016-12-02,580.32684
2016-12-10,584.10767
2016-12-18,622.44946
2016-12-26,562.0573
2017-01-01,623.7971
2017-01-09,611.1189
2017-01-17,544.1292
2017-01-25,544.5842
2017-02-02,600.20374
2017-02-10,556.3075
2017-02-18,606.6727
2017-02-26,545.2925
2017-03-06,617.4803
2017-03-14,580.55457
2017-03-22,576.6048
2017-03-30,724.24915
2017-04-07,746.84485
2017-04-15,609.4187
2017-04-23,636.90344
2017-05-01,612.2705
2017-05-09,649.84924
2017-05-17,671.17426
2017-05-25,680.7504
2017-06-02,736.7495
2017-06-10,624.71454
2017-06-18,621.33435
2017-06-26,649.7728
2017-07-04,737.1962
2017-07-12,707.78204
2017-07-20,771.8917
2017-07-28,784.73975
2017-08-05,681.3289
2017-08-13,721.31726
2017-08-21,616.1666
2017-08-29,650.9331
2017-09-06,624.7508
2017-09-14,618.0969
2017-09-22,574.0664
2017-09-30,583.8623
2017-10-08,666.1296
2017-10-16,584.9456
2017-10-24,612.1634
2017-11-01,642.0991
2017-11-09,568.84863
2017-11-17,587.27264
2017-11-25,632.06195
2017-12-03,583.8093
2017-12-11,590.8062
2017-12-19,540.2317
2017-12-27,564.329
2018-01-01,597.93695
2018-01-09,583.02905
2018-01-17,615.73566
2018-01-25,574.21936
2018-02-02,487.94308
2018-02-10,655.0446
2018-02-18,596.087
2018-02-26,609.3491
2018-03-06,590.20526
2018-03-14,594.2796
2018-03-22,655.0511
2018-03-30,613.11456
2018-04-07,582.26825
2018-04-15,611.3254
2018-04-23,621.2238
2018-05-01,566.3395
2018-05-09,616.52075
2018-05-17,654.2638
2018-05-25,599.44275
2018-06-02,651.56726
2018-06-10,596.16156
2018-06-18,607.906
2018-06-26,639.2256
2018-07-04,588.1202
2018-07-12,651.0891
2018-07-20,655.0155
2018-07-28,626.42194
2018-08-05,647.9386
2018-08-13,694.6059
2018-08-21,581.0253
2018-08-29,612.75024
2018-09-06,549.6836
2018-09-14,620.60266
2018-09-22,649.9553
2018-09-30,588.4275
2018-10-08,525.20355
2018-10-16,632.524
2018-10-24,649.6454
2018-11-01,509.62125
2018-11-09,666.14557
2018-11-17,552.2281
2018-11-25,624.21405
2018-12-03,588.4625
2018-12-11,621.6313
2018-12-19,606.8941
2018-12-27,607.76935
2019-01-01,550.8725
2019-01-09,607.2131
2019-01-17,643.3784
2019-01-25,601.6755
2019-02-02,592.4795
2019-02-10,597.30524
2019-02-18,635.1665
2019-02-26,570.539
2019-03-06,629.84467
2019-03-14,625.2908
2019-03-22,667.40607
2019-03-30,674.63434
2019-04-07,600.8572
2019-04-15,616.855
2019-04-23,627.8619
2019-05-01,598.2286
2019-05-09,659.63947
2019-05-17,691.89526
