time,npp
2012-01-25,753.1771
2012-02-02,864.6306
2012-02-10,749.23315
2012-02-18,685.67413
2012-02-26,686.4181
2012-03-05,675.8543
2012-03-13,707.0153
2012-03-21,721.39386
2012-03-29,688.60657
2012-04-06,687.97144
2012-04-14,630.7342
2012-04-22,708.2827
2012-04-30,694.3893
2012-05-08,825.46094
2012-05-16,752.64966
2012-05-24,713.61597
2012-06-01,802.0666
2012-06-09,635.9309
2012-06-17,757.4745
2012-06-25,702.2996
2012-07-03,543.4974
2012-07-11,373.55106
2012-07-19,420.22592
2012-07-27,360.70685
2012-08-04,370.96326
2012-08-12,354.00598
2012-08-20,352.33047
2012-08-28,389.37595
2012-09-05,373.6925
2012-09-13,342.00403
2012-09-21,330.98358
2012-09-29,314.8506
2012-10-07,313.95636
2012-10-15,332.33987
2012-10-23,316.35614
2012-10-31,338.60718
2012-11-08,403.41937
2012-11-16,323.18396
2012-11-24,338.26672
2012-12-02,356.9907
2012-12-10,396.56436
2012-12-18,361.67264
2012-12-26,356.36172
2013-01-01,438.95752
2013-01-09,581.5273
2013-01-17,468.02768
2013-01-25,444.13986
2013-02-02,461.13986
2013-02-10,482.9762
2013-02-18,712.7078
2013-02-26,650.086
2013-03-06,593.29193
2013-03-14,702.40326
2013-03-22,632.29156
2013-03-30,750.2307
2013-04-07,733.5653
2013-04-15,754.0896
2013-04-23,765.9921
2013-05-01,683.1535
2013-05-09,816.03265
2013-05-17,832.1812
2013-05-25,723.90704
2013-06-02,726.47955
2013-06-10,771.02094
2013-06-18,753.2136
2013-06-26,710.94763
2013-07-04,768.04126
2013-07-12,754.5569
2013-07-20,743.3775
2013-07-28,898.8086
2013-08-05,761.4528
2013-08-13,721.84174
2013-08-21,630.41327
2013-08-29,693.4138
2013-09-06,672.7047
2013-09-14,726.46674
2013-09-22,748.1521
2013-09-30,555.8152
2013-10-08,697.3722
2013-10-16,697.1535
2013-10-24,524.7724
2013-11-01,359.2767
2013-11-09,431.1829
2013-11-17,520.64844
2013-11-25,523.2813
2013-12-03,504.78598
2013-12-11,690.3163
2013-12-19,710.8977
2013-12-27,577.51825
2014-01-01,701.5992
2014-01-09,631.3515
2014-01-17,755.6826
2014-01-25,495.5641
2014-02-02,492.98096
2014-02-10,413.05994
2014-02-18,414.12927
2014-02-26,491.41217
2014-03-06,534.24866
2014-03-14,489.00378
2014-03-22,428.37256
2014-03-30,441.15625
2014-04-07,367.62213
2014-04-15,516.83057
2014-04-23,476.1659
2014-05-01,400.35156
2014-05-09,375.41513
2014-05-17,348.78702
2014-05-25,376.64117
2014-06-02,369.3164
2014-06-10,436.76974
2014-06-18,443.93027
2014-06-26,447.04248
2014-07-04,358.58957
2014-07-12,350.7867
2014-07-20,438.87592
2014-07-28,337.27338
2014-08-05,334.13705
2014-08-13,294.2661
2014-08-21,310.02228
2014-08-29,323.917
2014-09-06,409.92462
2014-09-14,385.41138
2014-09-22,372.24323
2014-09-30,356.83557
2014-10-08,328.49963
2014-10-16,330.95917
2014-10-24,374.1023
2014-11-01,358.26474
2014-11-09,331.94055
2014-11-17,354.6082
2014-11-25,371.73447
2014-12-03,359.55338
2014-12-11,349.7506
2014-12-19,281.36346
2014-12-27,315.9082
2015-01-01,360.38693
2015-01-09,357.88647
2015-01-17,325.57266
2015-01-25,338.10623
2015-02-02,447.79935
2015-02-10,347.8269
2015-02-18,353.653
2015-02-26,346.22012
2015-03-06,416.78467
2015-03-14,452.27103
2015-03-22,425.12726
2015-03-30,410.0437
2015-04-07,381.9446
2015-04-15,389.79672
2015-04-23,408.9801
2015-05-01,365.32492
2015-05-09,590.3909
2015-05-17,488.438
2015-05-25,407.92706
2015-06-02,390.6563
2015-06-10,339.71643
2015-06-18,389.07748
2015-06-26,592.9061
2015-07-04,540.7276
2015-07-12,460.4159
2015-07-20,424.05475
2015-07-28,514.07324
2015-08-05,572.7077
2015-08-13,473.37634
2015-08-21,419.88235
2015-08-29,378.18167
2015-09-06,430.13455
2015-09-14,373.32574
2015-09-22,373.1053
2015-09-30,392.66092
2015-10-08,326.10577
2015-10-16,390.12933
2015-10-24,389.169
2015-11-01,351.26675
2015-11-09,329.36993
2015-11-17,347.68683
2015-11-25,391.5127
2015-12-03,392.51965
2015-12-11,344.8876
2015-12-19,355.11084
2015-12-27,379.83148
2016-01-01,396.2527
2016-01-09,384.61774
2016-01-17,330.79492
2016-01-25,325.8827
2016-02-02,361.3766
2016-02-10,418.4447
2016-02-18,327.14114
2016-02-26,308.4087
2016-03-05,363.9125
2016-03-13,468.21252
2016-03-21,489.8927
2016-03-29,602.4001
2016-04-06,636.2971
2016-04-14,938.91376
2016-04-22,763.9248
2016-04-30,602.2242
2016-05-08,1006.26605
2016-05-16,1048.988
2016-05-24,767.52313
2016-06-01,638.52484
2016-06-09,642.2991
2016-06-17,612.47955
2016-06-25,847.3718
2016-07-03,585.88934
2016-07-11,473.30823
2016-07-19,486.6571
2016-07-27,499.97064
2016-08-04,596.94507
2016-08-12,542.0691
2016-08-20,502.88644
2016-08-28,563.4494
2016-09-05,582.35767
2016-09-13,728.4501
2016-09-21,697.1827
2016-09-29,633.93146
2016-10-07,665.2605
2016-10-15,681.1367
2016-10-23,637.2866
2016-10-31,631.2317
2016-11-08,831.20935
2016-11-16,766.52246
2016-11-24,592.77856
2016-12-02,560.91534
2016-12-10,435.81946
2016-12-18,425.8661
2016-12-26,472.30475
2017-01-01,335.65506
2017-01-09,333.35638
2017-01-17,338.33728
2017-01-25,289.1328
2017-02-02,418.02646
2017-02-10,416.60822
2017-02-18,469.66052
2017-02-26,603.5945
2017-03-06,633.0177
2017-03-14,661.2443
2017-03-22,708.5476
2017-03-30,637.5874
2017-04-07,615.63684
2017-04-15,655.7886
2017-04-23,598.5174
2017-05-01,695.1638
2017-05-09,648.65186
2017-05-17,725.0601
2017-05-25,742.5554
2017-06-02,758.81726
2017-06-10,585.2598
2017-06-18,725.2175
2017-06-26,607.1365
2017-07-04,557.33185
2017-07-12,570.79974
2017-07-20,606.5198
2017-07-28,553.03784
2017-08-05,434.0228
2017-08-13,640.8544
2017-08-21,609.7133
2017-08-29,696.12494
2017-09-06,551.9876
2017-09-14,765.8447
2017-09-22,662.7356
2017-09-30,699.04803
2017-10-08,716.5447
2017-10-16,747.749
2017-10-24,653.2447
2017-11-01,635.1886
2017-11-09,776.5692
2017-11-17,793.0895
2017-11-25,627.5831
2017-12-03,695.5982
2017-12-11,585.31177
2017-12-19,363.72452
2017-12-27,397.2054
2018-01-01,431.7485
2018-01-09,419.67166
2018-01-17,570.7878
2018-01-25,827.5487
2018-02-02,628.99567
2018-02-10,636.2096
2018-02-18,413.79724
2018-02-26,420.6993
2018-03-06,452.71725
2018-03-14,408.1782
2018-03-22,323.97217
2018-03-30,341.96478
2018-04-07,409.5362
2018-04-15,440.60922
2018-04-23,352.28122
2018-05-01,357.52258
2018-05-09,349.93793
2018-05-17,399.99265
2018-05-25,425.09198
2018-06-02,501.88785
2018-06-10,552.9119
2018-06-18,566.13806
2018-06-26,402.6967
2018-07-04,460.18372
2018-07-12,460.59235
2018-07-20,464.4311
2018-07-28,401.17932
2018-08-05,330.0676
2018-08-13,309.71033
2018-08-21,334.84583
2018-08-29,280.81134
2018-09-06,302.62946
2018-09-14,321.54224
2018-09-22,298.1397
2018-09-30,287.87622
2018-10-08,276.7435
2018-10-16,302.75574
2018-10-24,306.1736
2018-11-01,264.12857
2018-11-09,264.9316
2018-11-17,312.05994
2018-11-25,334.54507
2018-12-03,323.97772
2018-12-11,287.66827
2018-12-19,278.56287
2018-12-27,249.7378
2019-01-01,311.59265
