time,npp
1997-09-14,185.39644
1997-09-22,164.06926
1997-09-30,146.33286
1997-10-08,146.90894
1997-10-16,142.36586
1997-10-24,149.68076
1997-11-01,172.97763
1997-11-09,168.22754
1997-11-17,147.72821
1997-11-25,162.72551
1997-12-03,210.04912
1997-12-11,173.32843
1997-12-19,174.3734
1997-12-27,174.42067
1998-01-01,164.86386
1998-01-09,151.67747
1998-01-17,174.87347
1998-01-25,169.45702
1998-02-02,163.7612
1998-02-10,229.88982
1998-02-18,274.20697
1998-02-26,331.29456
1998-03-06,313.42023
1998-03-14,381.5671
1998-03-22,504.5446
1998-03-30,406.6415
1998-04-07,302.6098
1998-04-15,398.86102
1998-04-23,342.9862
1998-05-01,241.50836
1998-05-09,489.82974
1998-05-17,476.7235
1998-05-25,382.65112
1998-06-02,481.8732
1998-06-10,704.22906
1998-06-18,887.7102
1998-06-26,1443.7803
1998-07-04,1305.4729
1998-07-12,1216.8931
1998-07-20,1172.6674
1998-07-28,1169.9067
1998-08-05,938.8524
1998-08-13,854.1778
1998-08-21,983.9794
1998-08-29,746.2886
1998-09-06,481.97473
1998-09-14,645.3668
1998-09-22,629.9541
1998-09-30,662.2058
1998-10-08,673.303
1998-10-16,696.62775
1998-10-24,664.3304
1998-11-01,451.89542
1998-11-09,585.55597
1998-11-17,547.2874
1998-11-25,596.2522
1998-12-03,583.0867
1998-12-11,581.6666
1998-12-19,480.01535
1998-12-27,550.3706
1999-01-01,559.16614
1999-01-09,518.849
1999-01-17,494.91077
1999-01-25,582.9535
1999-02-02,559.0837
1999-02-10,500.75845
1999-02-18,460.4947
1999-02-26,424.85464
1999-03-06,529.85565
1999-03-14,569.5347
1999-03-22,496.15402
1999-03-30,516.66675
1999-04-07,472.10638
1999-04-15,463.31674
1999-04-23,461.7361
1999-05-01,436.9161
1999-05-09,508.45963
1999-05-17,428.33896
1999-05-25,433.0322
1999-06-02,416.2025
1999-06-10,432.18073
1999-06-18,411.64627
1999-06-26,450.50943
1999-07-04,466.33508
1999-07-12,480.24295
1999-07-20,541.1654
1999-07-28,471.21332
1999-08-05,531.8523
1999-08-13,567.22656
1999-08-21,590.62836
1999-08-29,473.50427
1999-09-06,493.76324
1999-09-14,516.6521
1999-09-22,608.9684
1999-09-30,459.1476
1999-10-08,460.07925
1999-10-16,566.3227
1999-10-24,624.14246
1999-11-01,564.0957
1999-11-09,569.20355
1999-11-17,495.77615
1999-11-25,637.97296
1999-12-03,537.018
1999-12-11,529.1261
1999-12-19,537.8304
1999-12-27,591.02924
2000-01-01,525.448
2000-01-09,521.4156
2000-01-17,610.7172
2000-01-25,570.11743
2000-02-02,574.9235
2000-02-10,590.6304
2000-02-18,581.7057
2000-02-26,629.68726
2000-03-05,623.7536
2000-03-13,662.47363
2000-03-21,624.8468
2000-03-29,433.09973
2000-04-06,447.38263
2000-04-14,491.91547
2000-04-22,443.9137
2000-04-30,416.0733
2000-05-08,469.11734
2000-05-16,463.26672
2000-05-24,432.60913
2000-06-01,402.31674
2000-06-09,407.67526
2000-06-17,454.64398
2000-06-25,431.7467
2000-07-03,482.70203
2000-07-11,431.56308
2000-07-19,440.20706
2000-07-27,407.37012
2000-08-04,495.03015
2000-08-12,540.5827
2000-08-20,548.0311
2000-08-28,441.75012
2000-09-05,467.09354
2000-09-13,547.38947
2000-09-21,473.71756
2000-09-29,520.31146
2000-10-07,496.49246
2000-10-15,453.32498
2000-10-23,483.13867
2000-10-31,542.91785
2000-11-08,524.36865
2000-11-16,455.85123
2000-11-24,486.33313
2000-12-02,493.4389
2000-12-10,456.35242
2000-12-18,518.2208
2000-12-26,538.52795
2001-01-01,567.024
2001-01-09,559.04663
2001-01-17,492.23724
2001-01-25,487.59885
2001-02-02,561.0586
2001-02-10,539.14233
2001-02-18,516.2707
2001-02-26,480.81955
2001-03-06,533.96075
2001-03-14,524.18524
2001-03-22,442.5055
2001-03-30,420.08386
2001-04-07,438.8232
2001-04-15,453.64304
2001-04-23,456.82367
2001-05-01,495.18088
2001-05-09,409.29016
2001-05-17,413.3552
2001-05-25,437.9036
2001-06-02,399.71628
2001-06-10,440.06213
2001-06-18,423.64047
2001-06-26,422.94275
2001-07-04,425.235
2001-07-12,427.4683
2001-07-20,478.79974
2001-07-28,449.10208
2001-08-05,467.97803
2001-08-13,535.47485
2001-08-21,489.54605
2001-08-29,540.84357
2001-09-06,491.1427
2001-09-14,555.10596
2001-09-22,472.8012
2001-09-30,570.86957
2001-10-08,487.0275
2001-10-16,470.61377
2001-10-24,443.65936
2001-11-01,441.14465
2001-11-09,458.56674
2001-11-17,407.76923
2001-11-25,415.3739
2001-12-03,485.1093
2001-12-11,479.83762
2001-12-19,514.22906
2001-12-27,405.99646
2002-01-01,459.8647
2002-01-09,432.06332
2002-01-17,487.42606
2002-01-25,527.439
2002-02-02,439.52756
2002-02-10,404.30118
2002-02-18,416.07217
2002-02-26,402.7135
2002-03-06,449.0895
2002-03-14,395.46115
2002-03-22,463.7389
2002-03-30,392.4187
2002-04-07,388.38098
2002-04-15,413.19812
2002-04-23,372.057
2002-05-01,388.7744
2002-05-09,456.13803
2002-05-17,382.02722
2002-05-25,327.552
2002-06-02,325.7887
2002-06-10,350.69305
2002-06-18,433.84915
2002-06-26,435.29007
2002-07-04,464.38217
2002-07-12,389.9461
2002-07-20,372.79816
2002-07-28,390.98315
2002-08-05,418.89636
2002-08-13,435.02893
2002-08-21,433.7889
2002-08-29,483.8192
2002-09-06,373.81723
2002-09-14,386.76926
2002-09-22,390.07516
2002-09-30,363.9152
2002-10-08,367.20496
2002-10-16,384.5824
2002-10-24,362.18835
2002-11-01,327.3896
2002-11-09,328.87256
2002-11-17,343.35684
2002-11-25,375.35452
2002-12-03,322.4075
2002-12-11,383.88565
2002-12-19,328.05658
2002-12-27,336.58322
2003-01-01,351.0721
2003-01-09,368.3412
2003-01-17,400.81705
2003-01-25,407.48303
2003-02-02,392.18707
2003-02-10,396.3514
2003-02-18,411.0097
2003-02-26,383.07407
2003-03-06,365.16663
2003-03-14,442.9414
2003-03-22,389.6993
2003-03-30,421.1491
2003-04-07,418.81177
2003-04-15,473.65353
2003-04-23,465.2594
2003-05-01,511.58615
2003-05-09,502.50208
2003-05-17,496.0639
2003-05-25,471.50146
2003-06-02,390.23642
2003-06-10,449.89758
2003-06-18,380.63324
2003-06-26,437.9723
2003-07-04,451.8888
2003-07-12,475.93735
2003-07-20,525.5908
2003-07-28,511.7838
2003-08-05,475.2036
2003-08-13,438.95154
2003-08-21,486.84387
2003-08-29,438.5277
2003-09-06,465.8296
2003-09-14,463.48883
2003-09-22,428.66736
2003-09-30,448.84116
2003-10-08,421.99677
2003-10-16,396.98154
2003-10-24,354.68604
2003-11-01,385.76086
2003-11-09,408.10565
2003-11-17,402.94418
2003-11-25,397.93417
2003-12-03,400.93506
2003-12-11,434.8871
2003-12-19,395.36993
2003-12-27,517.8266
2004-01-01,414.34003
2004-01-09,414.75125
2004-01-17,397.529
