time,npp
1997-09-14,221.35692
1997-09-22,187.41641
1997-09-30,226.53677
1997-10-08,267.4213
1997-10-16,180.50456
1997-10-24,258.4171
1997-11-01,237.7138
1997-11-09,200.92816
1997-11-17,201.97499
1997-11-25,190.68558
1997-12-03,196.47513
1997-12-11,196.32172
1997-12-19,191.59357
1997-12-27,187.94928
1998-01-01,197.73726
1998-01-09,236.124
1998-01-17,362.62854
1998-01-25,368.4769
1998-02-02,294.12997
1998-02-10,317.6202
1998-02-18,438.643
1998-02-26,445.13147
1998-03-06,272.77017
1998-03-14,555.61145
1998-03-22,569.33325
1998-03-30,614.54095
1998-04-07,674.67865
1998-04-15,619.8146
1998-04-23,755.61426
1998-05-01,743.91473
1998-05-09,584.0346
1998-05-17,505.23492
1998-05-25,505.23618
1998-06-02,459.5106
1998-06-10,437.62546
1998-06-18,385.26205
1998-06-26,321.2798
1998-07-04,368.98544
1998-07-12,310.04242
1998-07-20,387.8218
1998-07-28,414.59293
1998-08-05,321.2154
1998-08-13,343.33408
1998-08-21,321.4014
1998-08-29,356.53436
1998-09-06,357.68427
1998-09-14,394.03976
1998-09-22,492.81793
1998-09-30,472.29282
1998-10-08,456.50037
1998-10-16,390.06818
1998-10-24,523.79803
1998-11-01,409.4518
1998-11-09,432.55176
1998-11-17,335.72888
1998-11-25,326.86417
1998-12-03,299.41165
1998-12-11,330.4626
1998-12-19,322.1154
1998-12-27,357.28375
1999-01-01,390.43176
1999-01-09,308.45923
1999-01-17,346.53342
1999-01-25,415.6671
1999-02-02,479.17633
1999-02-10,379.54712
1999-02-18,455.1263
1999-02-26,431.25046
1999-03-06,446.64615
1999-03-14,406.87347
1999-03-22,435.7951
1999-03-30,420.95892
1999-04-07,465.65186
1999-04-15,433.3897
1999-04-23,431.06512
1999-05-01,364.7742
1999-05-09,313.54282
1999-05-17,329.12955
1999-05-25,397.03326
1999-06-02,409.33154
1999-06-10,333.40662
1999-06-18,300.74136
1999-06-26,283.47488
1999-07-04,303.98965
1999-07-12,313.91434
1999-07-20,320.73218
1999-07-28,284.4277
1999-08-05,251.19379
1999-08-13,230.68558
1999-08-21,306.81482
1999-08-29,398.97797
1999-09-06,349.2187
1999-09-14,367.34314
1999-09-22,379.95782
1999-09-30,381.5708
1999-10-08,399.494
1999-10-16,370.201
1999-10-24,391.6402
1999-11-01,374.39676
1999-11-09,370.45978
1999-11-17,345.6599
1999-11-25,394.6176
1999-12-03,359.7941
1999-12-11,458.20297
1999-12-19,360.141
1999-12-27,405.64413
2000-01-01,361.1378
2000-01-09,400.29645
2000-01-17,380.6041
2000-01-25,326.3344
2000-02-02,400.3951
