time,npp
2002-07-04,478.70026
2002-07-12,454.47537
2002-07-20,469.22336
2002-07-28,446.40228
2002-08-05,443.9301
2002-08-13,416.07928
2002-08-21,466.0148
2002-08-29,396.72903
2002-09-06,408.70135
2002-09-14,426.16394
2002-09-22,442.86383
2002-09-30,403.02112
2002-10-08,405.14627
2002-10-16,390.13904
2002-10-24,387.18604
2002-11-01,343.94992
2002-11-09,346.68646
2002-11-17,330.7866
2002-11-25,350.50967
2002-12-03,360.17267
2002-12-11,380.97433
2002-12-19,419.82742
2002-12-27,389.58557
2003-01-01,363.43417
2003-01-09,424.64014
2003-01-17,466.27435
2003-01-25,432.15646
2003-02-02,427.45746
2003-02-10,437.5448
2003-02-18,398.42932
2003-02-26,440.46393
2003-03-06,449.1884
2003-03-14,346.46805
2003-03-22,390.68176
2003-03-30,413.8833
2003-04-07,509.16998
2003-04-15,484.6204
2003-04-23,467.2611
2003-05-01,580.37537
2003-05-09,655.8763
2003-05-17,670.9284
2003-05-25,597.2833
2003-06-02,655.8026
2003-06-10,483.1186
2003-06-18,508.28754
2003-06-26,469.03717
2003-07-04,473.19568
2003-07-12,507.79623
2003-07-20,527.28284
2003-07-28,492.40228
2003-08-05,537.4132
2003-08-13,484.96902
2003-08-21,508.0205
2003-08-29,479.34772
2003-09-06,518.9525
2003-09-14,483.93765
2003-09-22,468.65375
2003-09-30,414.17624
2003-10-08,449.7414
2003-10-16,426.44592
2003-10-24,424.06665
2003-11-01,528.21106
2003-11-09,491.34146
2003-11-17,397.82156
2003-11-25,406.9119
2003-12-03,369.83423
2003-12-11,471.2838
2003-12-19,466.7882
2003-12-27,512.97437
2004-01-01,433.25958
2004-01-09,534.08295
2004-01-17,449.6344
2004-01-25,464.69058
2004-02-02,499.4679
2004-02-10,435.97153
2004-02-18,466.6142
2004-02-26,494.01215
2004-03-05,452.9746
2004-03-13,477.19763
2004-03-21,454.33282
2004-03-29,404.88867
2004-04-06,419.97214
2004-04-14,455.22522
2004-04-22,434.39154
2004-04-30,425.94064
2004-05-08,416.51666
2004-05-16,393.1845
2004-05-24,414.10504
2004-06-01,468.982
2004-06-09,484.85602
2004-06-17,464.29645
2004-06-25,586.2141
2004-07-03,477.74323
2004-07-11,445.51044
2004-07-19,497.1527
2004-07-27,423.87244
2004-08-04,445.64963
2004-08-12,478.1026
2004-08-20,505.34207
2004-08-28,501.9432
2004-09-05,464.49442
2004-09-13,452.44604
2004-09-21,415.21597
2004-09-29,473.46365
2004-10-07,472.8199
2004-10-15,488.72522
2004-10-23,456.38394
2004-10-31,531.298
2004-11-08,426.94675
2004-11-16,459.81543
2004-11-24,423.83432
2004-12-02,463.5521
2004-12-10,452.30817
2004-12-18,464.50598
2004-12-26,497.1024
2005-01-01,476.83658
2005-01-09,498.37207
2005-01-17,419.59344
2005-01-25,463.1741
2005-02-02,481.28104
2005-02-10,446.79282
2005-02-18,400.84222
2005-02-26,434.51477
2005-03-06,434.27435
2005-03-14,393.14993
2005-03-22,330.10455
2005-03-30,333.71146
2005-04-07,348.81134
2005-04-15,395.0973
2005-04-23,318.2393
2005-05-01,355.94202
2005-05-09,369.8175
2005-05-17,439.30124
2005-05-25,445.28772
2005-06-02,399.55087
2005-06-10,448.3152
2005-06-18,423.29922
2005-06-26,470.12674
2005-07-04,517.0511
2005-07-12,486.69177
2005-07-20,568.70776
2005-07-28,582.90015
2005-08-05,643.0438
2005-08-13,493.4438
2005-08-21,491.91492
2005-08-29,554.9227
2005-09-06,474.2857
2005-09-14,508.72488
2005-09-22,423.01514
2005-09-30,385.5725
2005-10-08,446.68396
2005-10-16,563.2717
2005-10-24,455.02292
2005-11-01,475.97015
2005-11-09,526.3077
2005-11-17,569.0019
2005-11-25,578.82886
2005-12-03,550.26276
2005-12-11,491.74866
2005-12-19,467.6707
2005-12-27,520.6724
2006-01-01,517.3093
2006-01-09,472.8455
2006-01-17,576.7121
2006-01-25,587.9181
2006-02-02,645.57684
2006-02-10,468.2906
2006-02-18,435.85995
2006-02-26,518.80115
2006-03-06,573.6987
2006-03-14,643.65576
2006-03-22,938.98883
2006-03-30,792.3303
2006-04-07,444.1709
2006-04-15,408.06503
2006-04-23,364.46692
2006-05-01,400.4804
2006-05-09,416.672
2006-05-17,419.4783
2006-05-25,455.59885
2006-06-02,409.37952
2006-06-10,414.16278
2006-06-18,477.9905
2006-06-26,572.04913
2006-07-04,483.0765
2006-07-12,462.5072
2006-07-20,527.4412
2006-07-28,399.83936
2006-08-05,441.7123
2006-08-13,490.25092
2006-08-21,463.92075
2006-08-29,411.64032
2006-09-06,480.81592
2006-09-14,392.63333
2006-09-22,394.46323
2006-09-30,405.97784
2006-10-08,392.55847
2006-10-16,390.84167
2006-10-24,445.63904
2006-11-01,414.8453
2006-11-09,374.69153
2006-11-17,359.55307
2006-11-25,384.74902
2006-12-03,398.5411
2006-12-11,384.6027
2006-12-19,394.28464
2006-12-27,385.72803
2007-01-01,392.99173
2007-01-09,410.9828
2007-01-17,455.99854
2007-01-25,629.6531
2007-02-02,642.7073
2007-02-10,635.93115
2007-02-18,507.04352
2007-02-26,416.3711
2007-03-06,430.61487
2007-03-14,384.50494
2007-03-22,471.05106
2007-03-30,502.87772
2007-04-07,471.80496
2007-04-15,394.2469
2007-04-23,383.98508
2007-05-01,416.09003
2007-05-09,494.58783
2007-05-17,415.85617
2007-05-25,465.0625
2007-06-02,432.7506
2007-06-10,447.3634
2007-06-18,467.39685
2007-06-26,537.75903
2007-07-04,636.9279
2007-07-12,695.8298
2007-07-20,661.7521
2007-07-28,450.6527
2007-08-05,462.1723
2007-08-13,482.52356
2007-08-21,502.71582
2007-08-29,519.2776
2007-09-06,521.92456
2007-09-14,510.78363
2007-09-22,485.2945
2007-09-30,536.3838
2007-10-08,682.2457
2007-10-16,580.7134
2007-10-24,498.8195
2007-11-01,498.6633
2007-11-09,501.03906
2007-11-17,546.87665
2007-11-25,556.6142
2007-12-03,609.8997
2007-12-11,656.2825
2007-12-19,543.99396
2007-12-27,516.40375
2008-01-01,520.8341
2008-01-09,561.0443
2008-01-17,584.36755
2008-01-25,470.6847
2008-02-02,529.4228
2008-02-10,793.29016
2008-02-18,698.41565
2008-02-26,483.005
2008-03-05,464.89807
2008-03-13,458.06555
2008-03-21,445.89713
2008-03-29,459.098
2008-04-06,417.0875
2008-04-14,464.8109
2008-04-22,378.01935
2008-04-30,424.29797
