time,npp
2002-07-04,220.24878
2002-07-12,190.21324
2002-07-20,188.36743
2002-07-28,199.98341
2002-08-05,177.769
2002-08-13,211.41452
2002-08-21,184.85263
2002-08-29,211.1979
2002-09-06,205.97536
2002-09-14,171.93802
2002-09-22,178.23744
2002-09-30,288.77948
2002-10-08,249.25287
2002-10-16,254.68495
2002-10-24,228.4461
2002-11-01,200.57623
2002-11-09,177.85962
2002-11-17,180.2424
2002-11-25,252.38274
2002-12-03,236.79408
2002-12-11,239.5035
2002-12-19,197.45769
2002-12-27,180.57208
2003-01-01,266.7753
2003-01-09,184.71895
2003-01-17,182.01942
2003-01-25,166.92938
2003-02-02,185.37509
2003-02-10,164.32867
2003-02-18,152.077
2003-02-26,181.6114
2003-03-06,166.99266
2003-03-14,174.5639
2003-03-22,223.85005
2003-03-30,256.21136
2003-04-07,197.19136
2003-04-15,229.2746
2003-04-23,234.25328
2003-05-01,290.7975
2003-05-09,340.6872
2003-05-17,365.63147
2003-05-25,319.13834
2003-06-02,300.69406
2003-06-10,198.43674
2003-06-18,191.2292
2003-06-26,195.22708
2003-07-04,183.07962
2003-07-12,175.8141
2003-07-20,190.0716
2003-07-28,174.66394
2003-08-05,165.14046
2003-08-13,147.40329
2003-08-21,138.72739
2003-08-29,140.99457
2003-09-06,168.55226
2003-09-14,190.27661
2003-09-22,205.52228
2003-09-30,150.73329
2003-10-08,245.50233
2003-10-16,188.43669
2003-10-24,202.14261
2003-11-01,179.3315
2003-11-09,173.88934
2003-11-17,148.38214
2003-11-25,167.71913
2003-12-03,164.33797
2003-12-11,152.00758
2003-12-19,159.75735
2003-12-27,165.01683
2004-01-01,161.85808
2004-01-09,150.87573
2004-01-17,167.00317
2004-01-25,174.29636
2004-02-02,186.14218
2004-02-10,168.40652
2004-02-18,231.66309
2004-02-26,236.40251
2004-03-05,366.03052
2004-03-13,341.29376
2004-03-21,330.60092
2004-03-29,294.4994
2004-04-06,240.90085
2004-04-14,175.95683
2004-04-22,186.0666
2004-04-30,176.51369
2004-05-08,215.73894
2004-05-16,234.20103
2004-05-24,224.00232
2004-06-01,188.78401
2004-06-09,181.29865
2004-06-17,236.37994
2004-06-25,222.57501
2004-07-03,191.56061
2004-07-11,171.15437
2004-07-19,166.08475
2004-07-27,192.14636
2004-08-04,186.23529
2004-08-12,196.87599
2004-08-20,192.62775
2004-08-28,177.1415
2004-09-05,170.75247
2004-09-13,165.73204
2004-09-21,148.12447
2004-09-29,136.28839
2004-10-07,157.63895
2004-10-15,146.34744
2004-10-23,132.84088
2004-10-31,151.57309
2004-11-08,163.2963
2004-11-16,151.89987
2004-11-24,141.90868
2004-12-02,144.9218
2004-12-10,206.37291
2004-12-18,163.07579
2004-12-26,144.436
2005-01-01,149.61845
2005-01-09,144.32748
2005-01-17,144.27766
2005-01-25,129.75214
2005-02-02,180.89983
2005-02-10,152.82721
2005-02-18,149.1291
2005-02-26,160.23119
2005-03-06,198.82893
2005-03-14,171.14122
2005-03-22,162.28334
2005-03-30,218.30357
2005-04-07,278.58112
2005-04-15,418.8338
2005-04-23,329.89478
2005-05-01,277.6368
2005-05-09,324.4043
2005-05-17,313.1483
2005-05-25,214.49936
2005-06-02,206.94179
2005-06-10,194.54828
2005-06-18,185.4227
2005-06-26,183.45604
2005-07-04,190.95619
2005-07-12,232.73381
2005-07-20,222.14496
2005-07-28,207.1945
2005-08-05,173.51593
2005-08-13,146.32489
2005-08-21,142.52708
2005-08-29,159.7958
2005-09-06,193.873
2005-09-14,244.82
2005-09-22,215.26767
2005-09-30,186.18558
2005-10-08,190.76598
2005-10-16,230.36418
2005-10-24,239.77458
2005-11-01,316.25894
2005-11-09,300.87708
2005-11-17,230.35251
2005-11-25,285.6793
2005-12-03,252.27887
2005-12-11,282.1488
2005-12-19,345.76843
2005-12-27,350.4174
2006-01-01,326.8917
2006-01-09,320.14886
2006-01-17,337.30917
2006-01-25,357.2595
2006-02-02,399.00363
2006-02-10,406.48254
2006-02-18,388.5211
2006-02-26,378.34116
2006-03-06,345.4266
2006-03-14,327.1307
2006-03-22,420.5035
2006-03-30,396.52936
2006-04-07,363.40277
2006-04-15,324.66452
2006-04-23,322.50455
2006-05-01,370.87613
2006-05-09,336.07092
2006-05-17,301.46603
2006-05-25,334.12207
2006-06-02,286.03964
2006-06-10,274.49036
2006-06-18,229.40761
2006-06-26,304.75375
2006-07-04,238.87898
2006-07-12,178.4473
2006-07-20,175.63428
2006-07-28,167.97784
2006-08-05,169.66411
2006-08-13,180.15411
2006-08-21,215.35643
2006-08-29,167.11758
2006-09-06,161.40176
2006-09-14,170.09116
2006-09-22,163.96729
2006-09-30,156.70297
2006-10-08,191.90826
2006-10-16,192.30615
2006-10-24,202.08107
2006-11-01,200.70673
2006-11-09,153.97539
2006-11-17,152.75085
2006-11-25,147.7052
2006-12-03,150.02434
2006-12-11,138.99501
2006-12-19,144.9529
2006-12-27,138.89925
2007-01-01,155.15166
2007-01-09,144.68108
2007-01-17,132.46588
2007-01-25,145.07327
2007-02-02,203.15305
2007-02-10,148.94077
2007-02-18,213.00127
2007-02-26,175.8037
2007-03-06,295.44568
2007-03-14,311.73282
2007-03-22,349.32092
2007-03-30,331.86856
2007-04-07,270.10675
2007-04-15,325.93814
2007-04-23,319.75128
2007-05-01,336.4146
2007-05-09,259.01028
2007-05-17,265.00378
2007-05-25,192.96562
2007-06-02,194.44359
2007-06-10,246.45204
2007-06-18,336.79553
2007-06-26,370.78033
2007-07-04,307.0342
2007-07-12,312.1496
2007-07-20,271.76196
2007-07-28,294.78568
2007-08-05,297.3623
2007-08-13,286.1095
2007-08-21,241.16176
2007-08-29,278.96783
2007-09-06,355.67612
2007-09-14,430.3216
2007-09-22,286.545
2007-09-30,378.7621
2007-10-08,354.69733
2007-10-16,334.0686
2007-10-24,403.7793
2007-11-01,412.87714
2007-11-09,351.30243
2007-11-17,369.72046
2007-11-25,364.1896
2007-12-03,343.11276
2007-12-11,372.7915
2007-12-19,367.0172
2007-12-27,367.26517
2008-01-01,369.23654
2008-01-09,379.80157
2008-01-17,406.45026
2008-01-25,395.2031
2008-02-02,428.60645
2008-02-10,379.01718
2008-02-18,362.5934
2008-02-26,435.18524
2008-03-05,384.31842
2008-03-13,394.12738
2008-03-21,400.33868
2008-03-29,362.8145
2008-04-06,420.41248
2008-04-14,347.31326
2008-04-22,352.78375
2008-04-30,382.51968
2008-05-08,376.0466
2008-05-16,331.4038
2008-05-24,346.37106
2008-06-01,327.22696
2008-06-09,278.25845
2008-06-17,315.6854
2008-06-25,330.03577
2008-07-03,318.83356
2008-07-11,277.42355
2008-07-19,285.7733
2008-07-27,318.45016
2008-08-04,379.2445
2008-08-12,310.01205
2008-08-20,305.68936
2008-08-28,325.6388
2008-09-05,331.71097
2008-09-13,332.84915
2008-09-21,308.81848
2008-09-29,338.04437
2008-10-07,363.99683
2008-10-15,375.3671
2008-10-23,355.33694
2008-10-31,319.5758
2008-11-08,334.05008
2008-11-16,370.64014
2008-11-24,393.14316
2008-12-02,336.12555
2008-12-10,354.0548
2008-12-18,370.73807
2008-12-26,349.70682
2009-01-01,365.52582
2009-01-09,411.46027
2009-01-17,471.9797
2009-01-25,431.19897
2009-02-02,373.1738
2009-02-10,420.73666
2009-02-18,347.61432
2009-02-26,361.5535
2009-03-06,468.95425
2009-03-14,425.83835
2009-03-22,369.1864
2009-03-30,307.0492
