time,npp
2012-01-25,551.6455
2012-02-02,472.4272
2012-02-10,417.7537
2012-02-18,325.6482
2012-02-26,296.56012
2012-03-05,404.57022
2012-03-13,384.61386
2012-03-21,398.30975
2012-03-29,444.73776
2012-04-06,430.35098
2012-04-14,448.58212
2012-04-22,491.2346
2012-04-30,434.1298
2012-05-08,453.9814
2012-05-16,459.5823
2012-05-24,420.3866
2012-06-01,436.42096
2012-06-09,376.5924
2012-06-17,465.38275
2012-06-25,440.0405
2012-07-03,476.46994
2012-07-11,483.23654
2012-07-19,459.60266
2012-07-27,500.75803
2012-08-04,589.7824
2012-08-12,632.97327
2012-08-20,611.71313
2012-08-28,617.2884
2012-09-05,548.08
2012-09-13,599.17474
2012-09-21,632.84784
2012-09-29,664.1895
2012-10-07,530.3025
2012-10-15,671.97064
2012-10-23,685.39087
2012-10-31,703.2766
2012-11-08,503.73953
2012-11-16,562.9571
2012-11-24,565.6227
2012-12-02,514.28516
2012-12-10,551.6446
2012-12-18,518.43256
2012-12-26,534.8447
2013-01-01,573.0586
2013-01-09,647.33136
2013-01-17,595.2637
2013-01-25,608.9025
2013-02-02,662.8449
2013-02-10,628.9341
2013-02-18,469.618
2013-02-26,491.1759
2013-03-06,398.1559
2013-03-14,324.4212
2013-03-22,344.86176
2013-03-30,445.48022
2013-04-07,466.65213
2013-04-15,508.27844
2013-04-23,465.54184
2013-05-01,511.7577
2013-05-09,639.8396
2013-05-17,668.7185
2013-05-25,764.56573
2013-06-02,683.96564
2013-06-10,653.7518
2013-06-18,612.6227
2013-06-26,516.62396
2013-07-04,676.2195
2013-07-12,647.9895
2013-07-20,696.2017
2013-07-28,598.1011
2013-08-05,614.8302
2013-08-13,650.5815
2013-08-21,725.9993
2013-08-29,628.916
2013-09-06,645.5365
2013-09-14,564.5945
2013-09-22,526.6131
2013-09-30,509.44812
2013-10-08,484.19495
2013-10-16,453.19687
2013-10-24,492.99594
2013-11-01,564.409
2013-11-09,534.70435
2013-11-17,587.55457
2013-11-25,596.0125
2013-12-03,533.17645
2013-12-11,396.68262
2013-12-19,507.58215
2013-12-27,480.39957
2014-01-01,490.15637
2014-01-09,625.1374
2014-01-17,497.17487
2014-01-25,638.8026
2014-02-02,509.19406
2014-02-10,679.8362
2014-02-18,507.29346
2014-02-26,608.0401
2014-03-06,395.50534
2014-03-14,345.18057
2014-03-22,328.3572
2014-03-30,332.3182
2014-04-07,394.46506
2014-04-15,371.3426
2014-04-23,357.24573
2014-05-01,407.4846
2014-05-09,419.38342
2014-05-17,396.90842
2014-05-25,431.89484
2014-06-02,424.02893
2014-06-10,386.86224
2014-06-18,429.05063
2014-06-26,398.78455
2014-07-04,511.24973
2014-07-12,461.51236
2014-07-20,548.98303
2014-07-28,795.32623
2014-08-05,943.29517
2014-08-13,1027.8472
2014-08-21,859.30615
2014-08-29,550.5098
2014-09-06,677.1676
2014-09-14,486.02084
2014-09-22,484.81653
2014-09-30,558.166
2014-10-08,630.69244
2014-10-16,516.9938
2014-10-24,463.61414
2014-11-01,475.41672
2014-11-09,459.5099
2014-11-17,435.5929
2014-11-25,507.7721
2014-12-03,460.1105
2014-12-11,379.80414
2014-12-19,427.02115
2014-12-27,512.36884
2015-01-01,455.31467
2015-01-09,492.76166
2015-01-17,477.2909
2015-01-25,596.7643
2015-02-02,471.51492
2015-02-10,412.9369
2015-02-18,477.1142
2015-02-26,466.83914
2015-03-06,461.80582
2015-03-14,395.7948
2015-03-22,324.45572
2015-03-30,313.60364
2015-04-07,325.1987
2015-04-15,290.43668
2015-04-23,338.61856
2015-05-01,359.23462
2015-05-09,334.60815
2015-05-17,393.85538
2015-05-25,370.45398
2015-06-02,317.0832
2015-06-10,358.1053
2015-06-18,336.18805
2015-06-26,357.9668
2015-07-04,475.90414
2015-07-12,380.05478
2015-07-20,484.0593
2015-07-28,470.12457
2015-08-05,450.35022
2015-08-13,485.70422
2015-08-21,582.3847
2015-08-29,459.8264
2015-09-06,434.6983
2015-09-14,440.70502
2015-09-22,495.9928
2015-09-30,506.31076
2015-10-08,374.0327
2015-10-16,463.41156
2015-10-24,381.32883
2015-11-01,373.35037
2015-11-09,414.26428
2015-11-17,372.3885
2015-11-25,384.54062
2015-12-03,312.7921
2015-12-11,428.04822
2015-12-19,325.51312
2015-12-27,354.90356
2016-01-01,370.97278
2016-01-09,363.16837
2016-01-17,337.18427
2016-01-25,385.0588
2016-02-02,297.5426
2016-02-10,316.9347
2016-02-18,405.71854
2016-02-26,437.72266
2016-03-05,338.93536
2016-03-13,371.62692
2016-03-21,449.3141
2016-03-29,335.87125
2016-04-06,353.25034
2016-04-14,396.56354
2016-04-22,470.23083
2016-04-30,403.5298
2016-05-08,411.50897
2016-05-16,668.93427
2016-05-24,578.59827
2016-06-01,535.3957
2016-06-09,530.1835
2016-06-17,613.81683
2016-06-25,523.35846
2016-07-03,550.35223
2016-07-11,496.02252
2016-07-19,598.73065
2016-07-27,776.2338
2016-08-04,667.7797
2016-08-12,877.617
2016-08-20,907.1355
2016-08-28,923.7052
2016-09-05,665.9724
2016-09-13,636.31586
2016-09-21,666.3992
2016-09-29,662.7599
2016-10-07,629.06665
2016-10-15,594.0939
2016-10-23,593.2502
2016-10-31,728.2883
2016-11-08,723.4275
2016-11-16,598.0798
2016-11-24,657.1258
2016-12-02,606.1396
2016-12-10,577.35046
2016-12-18,523.8916
2016-12-26,486.86078
2017-01-01,544.6312
2017-01-09,447.02283
2017-01-17,484.13965
2017-01-25,447.56912
2017-02-02,346.752
2017-02-10,409.3478
2017-02-18,387.03064
2017-02-26,378.6763
2017-03-06,364.00696
2017-03-14,348.31738
2017-03-22,407.8665
2017-03-30,336.15363
2017-04-07,347.0563
2017-04-15,391.30774
2017-04-23,397.9486
2017-05-01,440.86368
2017-05-09,434.57562
2017-05-17,431.70792
2017-05-25,423.1091
2017-06-02,545.273
2017-06-10,611.09937
2017-06-18,468.2385
2017-06-26,575.78394
2017-07-04,489.97635
2017-07-12,612.2947
2017-07-20,493.93002
2017-07-28,616.5133
2017-08-05,603.6461
2017-08-13,627.2739
2017-08-21,664.5398
2017-08-29,621.249
2017-09-06,812.8038
2017-09-14,1170.165
2017-09-22,1127.1716
2017-09-30,824.19165
2017-10-08,689.8047
2017-10-16,616.10516
2017-10-24,580.7595
2017-11-01,570.1819
2017-11-09,564.6701
2017-11-17,648.5893
2017-11-25,597.73474
2017-12-03,568.85504
2017-12-11,634.42474
2017-12-19,630.84937
2017-12-27,632.0783
2018-01-01,747.46356
2018-01-09,456.82672
2018-01-17,454.6886
2018-01-25,448.52505
2018-02-02,581.89746
2018-02-10,455.04694
2018-02-18,422.82928
2018-02-26,385.4944
