time,npp
2012-01-25,403.89423
2012-02-02,419.48596
2012-02-10,420.21442
2012-02-18,391.79016
2012-02-26,366.78656
2012-03-05,348.22537
2012-03-13,402.15747
2012-03-21,342.16364
2012-03-29,330.36487
2012-04-06,339.6748
2012-04-14,303.26355
2012-04-22,330.21637
2012-04-30,321.19293
2012-05-08,391.46902
2012-05-16,362.05652
2012-05-24,329.01154
2012-06-01,375.46347
2012-06-09,306.45233
2012-06-17,346.9613
2012-06-25,334.31332
2012-07-03,248.01775
2012-07-11,179.86441
2012-07-19,194.60725
2012-07-27,164.4069
2012-08-04,170.79022
2012-08-12,164.08214
2012-08-20,161.54774
2012-08-28,172.1325
2012-09-05,170.23358
2012-09-13,146.17415
2012-09-21,143.98798
2012-09-29,139.6139
2012-10-07,139.43365
2012-10-15,145.55782
2012-10-23,140.48578
2012-10-31,146.7221
2012-11-08,166.8881
2012-11-16,143.35797
2012-11-24,154.73613
2012-12-02,158.2089
2012-12-10,176.92076
2012-12-18,166.04208
2012-12-26,158.51776
2013-01-01,192.21822
2013-01-09,242.55203
2013-01-17,215.77072
2013-01-25,212.10822
2013-02-02,218.86676
2013-02-10,223.78146
2013-02-18,332.1299
2013-02-26,307.28674
2013-03-06,300.43445
2013-03-14,338.37463
2013-03-22,316.12402
2013-03-30,359.65195
2013-04-07,363.34097
2013-04-15,363.96826
2013-04-23,370.6475
2013-05-01,333.9176
2013-05-09,397.93347
2013-05-17,384.019
2013-05-25,347.0395
2013-06-02,348.90372
2013-06-10,367.4922
2013-06-18,348.5741
2013-06-26,323.79605
2013-07-04,354.23193
2013-07-12,354.32947
2013-07-20,350.4652
2013-07-28,421.85223
2013-08-05,358.99377
2013-08-13,333.9865
2013-08-21,285.68356
2013-08-29,301.44037
2013-09-06,312.11578
2013-09-14,335.1902
2013-09-22,323.47583
2013-09-30,239.55504
2013-10-08,294.40982
2013-10-16,309.74216
2013-10-24,226.302
2013-11-01,162.53871
2013-11-09,189.43939
2013-11-17,225.89078
2013-11-25,228.05539
2013-12-03,224.391
2013-12-11,309.38757
2013-12-19,327.4985
2013-12-27,368.14267
2014-01-01,323.05765
2014-01-09,355.8752
2014-01-17,355.3676
2014-01-25,236.12817
2014-02-02,218.54486
2014-02-10,188.92659
2014-02-18,200.94176
2014-02-26,226.2486
2014-03-06,234.12378
2014-03-14,215.54695
2014-03-22,197.10309
2014-03-30,197.02994
2014-04-07,168.08516
2014-04-15,246.69562
2014-04-23,215.64555
2014-05-01,180.85037
2014-05-09,171.61896
2014-05-17,155.20789
2014-05-25,165.3987
2014-06-02,163.67886
