time,chlor_a
2012-01-02,0.17304398
2012-01-03,
2012-01-04,0.17263688
2012-01-05,0.1751152
2012-01-06,
2012-01-07,
2012-01-08,
2012-01-09,0.21940716
2012-01-10,0.2096883
2012-01-11,0.22011226
2012-01-12,
2012-01-13,0.24845113
2012-01-14,
2012-01-15,0.27248174
2012-01-16,0.2647588
2012-01-17,
2012-01-18,0.30637312
2012-01-19,
2012-01-20,0.28514302
2012-01-21,0.31419367
2012-01-22,
2012-01-23,0.3638067
2012-01-24,
2012-01-25,0.32740673
2012-01-26,0.32436985
2012-01-27,
2012-01-28,
2012-01-29,0.27064934
2012-01-30,
2012-01-31,0.19091767
2012-02-01,0.19167544
2012-02-02,
2012-02-03,0.22130975
2012-02-04,
2012-02-05,0.1918776
2012-02-06,0.19778746
2012-02-07,
2012-02-08,0.20266138
2012-02-09,
2012-02-10,0.16741166
2012-02-11,0.17616169
2012-02-12,
2012-02-13,
2012-02-14,0.16394322
2012-02-15,
2012-02-16,0.14774098
2012-02-17,0.16366352
2012-02-18,
2012-02-19,0.17112258
2012-02-20,
2012-02-21,0.16733204
2012-02-22,0.14860903
2012-02-23,
2012-02-24,0.16901678
2012-02-25,
2012-02-26,0.14960751
2012-02-27,0.15777627
2012-02-28,
2012-02-29,
2012-03-01,0.20690826
2012-03-02,
2012-03-03,0.20162353
2012-03-04,0.2198818
2012-03-05,
2012-03-06,0.2670251
2012-03-07,
2012-03-08,0.19534113
2012-03-09,0.22026727
2012-03-10,
2012-03-11,
2012-03-12,
2012-03-13,
2012-03-14,0.21161588
2012-03-15,
2012-03-16,
2012-03-17,0.2728397
2012-03-18,
2012-03-19,0.23346347
2012-03-20,0.21179341
2012-03-21,
2012-03-22,0.25440118
2012-03-23,
2012-03-24,
2012-03-26,
2012-03-27,0.19734484
2012-03-28,
2012-03-29,0.20077305
2012-03-30,0.1840542
2012-03-31,
2012-04-01,
2012-04-02,
2012-04-03,
2012-04-04,0.16861175
2012-04-05,0.17319773
2012-04-06,
2012-04-07,
2012-04-08,
2012-04-09,0.1669741
2012-04-10,0.15267506
2012-04-11,
2012-04-12,0.22247098
2012-04-13,
2012-04-14,0.14443725
2012-04-15,0.14035082
2012-04-16,
2012-04-17,
2012-04-18,0.19903114
2012-04-19,
2012-04-20,0.16986525
2012-04-21,0.17206949
2012-04-22,
2012-04-23,0.19620238
2012-04-24,
2012-04-25,0.17407128
2012-04-26,0.15514408
2012-04-27,
